#Gene	P.Value	logFC
MVP	0.00024637	-1.044041
PTTG1IP	0.00024983	-0.967448
IER2	0.00025588	-0.95909
DPYD	0.00026167	-0.635344
C20orf24	0.00028871	-0.971945
DNAJC25-GNG10	0.00028941	-1.323121
TWF1	0.00030351	-1.06028
GK	0.00031208	-0.97656
ASAH1	0.00032805	-0.718926
MAPKAPK3	0.00033616	-1.06242
LEPREL4	0.00034675	-1.387731
ACO2	0.00034768	-0.671423
STAT1	0.00034813	-0.919908
IL7R	0.00036473	2.294312
LTBR	0.00037294	-1.299963
BAG1	0.00039039	-0.970157
SERPING1	0.00039767	-1.367916
BCL2A1	0.00040097	-1.517838
NA	0.00040442	-0.623009
FCGR2A	0.00040954	-0.845395
MT1H	0.00041463	-0.807043
HMGA2	0.00042194	1.527341
LAMP1	0.00042413	-0.734275
ARHGAP1	0.00042986	-0.631929
TCN2	0.00049034	-1.188021
TCIRG1	0.00049631	-0.932826
MAP2K3	0.00051112	-0.952732
SERINC3	0.00051326	0.886634
ADAM9	0.00052131	-0.849362
SDHB	0.00052405	-0.644978
LIMK2	0.00055836	-0.807828
ITGB2	0.00055913	-0.698409
C2	0.00057104	-1.368978
ELL2	0.00057627	-0.872492
ATP6AP1	0.00060881	-0.609738
CTNNA1	0.00061026	-0.706365
TXN	0.00062661	-0.679809
RPGR	0.00062757	-0.689085
PTP4A1	0.00064158	-0.547559
BCL6	0.00064697	-1.234317
NA	0.00064794	-1.380328
NUBP1	0.00065533	-0.621915
SMPDL3A	0.00065874	-1.239852
VCAN	0.00069165	-0.982914
NA	0.00069253	-0.829159
SRSF9	0.00070913	-0.662876
SLC35B1	0.00072315	-0.433404
CCR7	0.00072497	1.159302
HBZ	0.00074669	-2.097671
PRDX4	0.0007482	-0.661349
COX5B	0.00075036	-0.687866
IRF1	0.00075287	-1.166092
ATP6V1B2	0.00075659	-0.78623
LST1	0.00075937	-0.983665
FLII	0.00077559	-0.660079
EXT1	0.00080587	-0.644298
STRA13	0.0008185	-0.95667
ADM	0.0008358	-1.815119
TAF1	0.00084112	1.515534
COX8A	0.00085546	-0.520809
FSCN1	0.00089019	-0.851304
ABR	0.00095818	-0.608442
GPSM3	0.00099552	-0.709807
S100A12	0.00099958	-1.160817
SLC19A1	0.00100452	-1.018865
DCTN2	0.00101969	-0.56481
IRF5	0.00102888	-0.61246
ARPC1A	0.00103243	-0.647005
STK3	0.00104519	-0.729666
ACSL1	0.00105425	-1.607
ZNF33B	0.0010617	0.935103
HCK	0.00107787	-0.89841
FGL2	0.00115385	-0.819124
UFD1L	0.00118827	-0.520962
SORD	0.00121294	-0.508818
LOC100130308	0.00121402	-0.509187
CSK	0.00121592	-0.697122
TUBA1A	0.00121941	-0.997929
SERPINB1	0.00122285	-0.674225
NFIL3	0.00122525	-1.248175
DAZAP2	0.00125671	-0.434864
LMNA	0.00126919	-0.421122
SRP72	0.00127453	-1.257096
G3BP1	0.00128458	0.54206
COX5A	0.00128543	-0.690517
SAT1	0.00132426	-0.825188
FTH1	0.00133286	-0.728339
ASL	0.00133979	-0.768568
CTBP1	0.00134108	-0.883338
ARF3	0.00139453	-0.5434
IFNGR1	0.00140342	-0.902584
CALM3	0.00142136	-0.483369
NA	0.00143539	-0.653752
PSAP	0.00144926	-0.516005
ITPK1	0.00145692	-0.394849
RNPEP	0.00145947	-0.729423
SERPINH1	0.00147758	-0.432002
CYFIP1	0.0014853	-0.791292
RXRG	0.00149508	0.891747
TMOD1	0.0014966	-2.272992
ZNF135	0.00150018	1.72262
ATP5O	0.00151241	-0.470795
MPP1	0.00153242	-0.925514
ZFHX3	0.00154054	-1.163818
HK1	0.00156023	-0.69498
AHDC1	0.00157707	-0.771377
TRIP10	0.00157899	-1.164861
SLC25A3	0.00158855	-0.44871
RNH1	0.00161982	-0.638297
KCNA4	0.00164141	1.656629
CLTA	0.00165455	-0.635369
NAPA	0.00168134	-0.748575
KIAA0430	0.00178094	-0.856071
HGF	0.00180832	-1.83409
HMGN2	0.00185846	-0.474803
P2RX4	0.00187071	-0.706774
WDR92	0.00187549	-1.315502
PDE7A	0.00188267	0.716519
HEXB	0.00189282	-0.660998
CTSL	0.00190869	-1.088104
HLA-E	0.00192549	-0.438416
KYNU	0.00194307	-0.708764
IL10RB	0.00195314	-0.762912
SNAPC2	0.00196134	-0.577122
COL9A2	0.00198655	-0.554505
FGR	0.0020095	-0.674195
NA	0.00203283	-0.718563
TLR4	0.00204707	-1.356616
TP53BP2	0.00206798	-0.567375
IRF7	0.00207598	-0.852561
ACE	0.00209057	-0.452682
NCF1C	0.00209133	-0.891715
LMO2	0.00210715	-0.689606
TIMP2	0.00211317	-0.946732
KLF6	0.00211369	-1.074033
HNF4A	0.00215	1.072261
NA	0.00216369	1.984554
NA	0.00217068	-1.405895
RAD9A	0.00218757	-1.10129
BCL3	0.00219251	-0.961888
IFNGR2	0.00223824	-0.876193
SP110	0.00225075	-0.606422
MAP3K12	0.0022537	0.657799
RAB32	0.00232353	-0.81758
ZNF45	0.00232378	0.745126
ALDH3B1	0.00235927	-0.68322
ATP6V0C	0.00239544	-0.576391
COX4I1	0.00241874	-0.286852
FBP1	0.00242337	-0.729499
ANKRD36C	0.00244213	0.854574
NA	0.00247302	1.473731
NCF4	0.00252315	-0.98922
ASGR2	0.00252942	-0.901943
AK4P3	0.00253319	-1.235882
NAT6	0.00254313	-1.213479
UQCRFS1	0.00254657	-0.448442
LILRA2	0.0025553	-0.772379
PPP2R1B	0.00257364	0.477501
BAG6	0.00257807	-0.641915
ACOT7	0.00258445	-0.938714
CLIC1	0.00259824	-0.575661
TSG101	0.00266627	-0.706938
BECN1	0.00268807	-0.545597
SORL1	0.00271895	-1.524988
LOC100133665	0.00274735	-0.86486
SDC4	0.00275008	-1.218389
PLCB2	0.00277422	-0.565435
ANXA11	0.00281086	-0.489037
NA	0.00283391	-0.493028
EIF4B	0.00284532	1.04471
NF2	0.00284733	-0.678223
BATF	0.00285031	-0.471098
FCHO2	0.00286407	-1.269472
CD46	0.00288151	-0.802892
GNRHR	0.00290069	-1.542384
GSK3A	0.00290595	-0.333825
CD14	0.00296056	-0.67811
CD38	0.00296261	-1.400247
TNXB	0.00299204	-0.644951
IFI30	0.00299536	-0.812574
ARHGAP19	0.00300419	-0.698991
CAP1	0.00302398	-0.52591
NMI	0.00304427	-0.614564
PPFIA1	0.00305273	-0.932153
PPP2CB	0.00305299	-0.517834
RNF10	0.00306616	-0.967912
CIB1	0.003106	-0.62598
EBP	0.00310601	-0.455466
ANXA5	0.00311843	-0.560237
UBE2A	0.00316354	-0.600968
RHEB	0.00321738	-0.649565
STAB1	0.00323437	-0.898074
EIF1	0.00323622	-0.351791
DPYD	0.00332608	-0.797109
OSTF1	0.00334336	-0.827788
HLX	0.00335717	-0.785697
ADRA1A	0.00336373	1.189312
ST3GAL1	0.00344659	-0.93113
NA	0.00344849	1.231162
NFE2	0.00345663	-0.806598
MCAM	0.00349133	-1.535769
LRPAP1	0.00355786	-0.510509
PSMD9	0.00361177	-0.449369
MEF2C	0.00365201	0.683371
H2AFB1	0.00366882	-1.093436
ARF4	0.00368161	-0.568771
KRR1	0.00368233	0.570133
PTPRS	0.00373959	-1.226357
FLAD1	0.00376366	-0.50367
RBM4	0.0037798	-0.393298
SMARCD3	0.00379592	-0.859074
PRKCI	0.00380275	1.343293
RASA2	0.00387613	1.619367
GATA6	0.00390408	1.704678
LGALS9	0.00391579	-0.786157
PSMB9	0.00392774	-0.635543
TPM1	0.00394213	-1.583451
MAPK3	0.00395408	-0.696769
AP3S1	0.00395848	-0.811745
COX6A1	0.00398398	-0.526236
TPMT	0.00398873	-0.598371
SLBP	0.00399326	-0.679689
PNRC1	0.00402241	-0.591829
DMPK	0.00402916	-1.387891
KIAA0226	0.00406434	-0.546075
CUX1	0.00410586	-0.875484
CSTB	0.00411577	-0.556402
RELB	0.00411881	-0.567604
CASP4	0.00411895	-0.612941
NINJ1	0.00417099	-0.903962
LOC146880	0.00417489	-0.569873
ADAM8	0.00417642	-0.752693
ANXA1	0.0041793	-0.533867
PPP4R1	0.004199	-0.644242
THBD	0.00429439	-1.51989
PBX3	0.00432115	-0.467511
IFI35	0.00433705	-0.753303
RUNX1	0.00434331	-0.464182
SYN2	0.00436765	-1.38101
CDK13	0.00437833	0.717962
CA5A	0.00439588	1.117411
CALCOCO2	0.00440275	-0.574237
NCF2	0.00440469	-0.616936
NDUFV2	0.00442687	-0.417246
MYO1E	0.00442976	-0.47988
DBI	0.00447416	-0.510795
PSMD1	0.00456985	-0.546535
ZWINTAS	0.00457008	-0.517331
GALT	0.00461831	-0.439182
MXI1	0.00462687	-1.32851
RAB1A	0.00463987	-0.570508
HOXA9	0.0046427	-2.020502
FAM50A	0.00464658	-0.5795
ARF1	0.00464999	-0.433916
PCMT1	0.00467597	-0.643042
LDLRAD4	0.00471786	0.832881
EPB42	0.00471791	-2.490607
ILK	0.0047887	-0.487896
SRD5A1	0.00480067	-0.640743
OVCA2	0.00486902	-0.446089
CHMP1A	0.00487792	-0.396122
IQCB1	0.00492727	0.727168
FIG4	0.00494368	-0.57513
AKT2	0.00496796	-0.449434
UBE2D3	0.0049803	-0.510091
ALCAM	0.00501323	-0.739193
LAMP2	0.00503624	-0.741928
CAPZA2	0.00508669	-0.513383
CD59	0.00509561	-0.610301
TNK1	0.00515424	1.364997
CBX1	0.00519661	-0.439191
MGAT5	0.00520359	-1.090007
ALOX5	0.00521367	-0.819837
PSMD4	0.00526699	-0.521618
GLB1	0.00551027	-0.499295
CPD	0.00552136	-0.748401
IL6ST	0.00557062	1.562612
NA	0.00557418	1.265854
SLC25A46	0.00559441	-0.508299
SMAD3	0.00559819	-0.530525
AEBP1	0.00559948	0.713872
DOCK2	0.00559975	-0.391193
THOC5	0.00562981	-0.561427
NFKBIA	0.00572837	-1.073358
IQGAP1	0.00576894	-0.546927
RHOA	0.0057964	-0.368681
KLF10	0.00582449	-0.606727
NA	0.00585238	-1.461894
HAGH	0.00585787	-0.987834
CHD8	0.00596832	-1.551646
ECM1	0.00608597	-1.508569
IFI44	0.00615997	-0.881647
GPR3	0.00616078	-0.440941
SLC4A2	0.0061621	-1.361971
KCNMA1	0.00626538	0.968942
SERPINF1	0.00627776	0.422902
TKT	0.00632159	-0.599391
CASP3	0.00632167	-0.431701
SLC7A5	0.006343	-0.713846
ATF2	0.00640445	1.527028
ALDOA	0.00641611	-0.459574
ARAF	0.00643534	-0.429953
RABGGTA	0.00645752	-0.395339
SSTR5	0.00648443	-0.554396
MFSD10	0.00649634	-0.660513
ELAVL2	0.00650323	1.102197
FAM120A	0.00650892	-0.526244
H3F3AP4	0.0065356	-0.330583
MTHFS	0.00657795	-0.570315
MBOAT7	0.00659818	-0.82812
COL17A1	0.0066002	-0.948557
ADSL	0.00661185	-0.295934
PABPC1	0.00663649	-0.366467
CLPS	0.00664874	0.594672
CHAF1A	0.00669036	-0.535897
GAPDH	0.00669826	-0.539471
ZNF136	0.00678156	1.510859
PHC2	0.00681829	-0.747573
RELA	0.00683673	-0.365062
ALAS2	0.00685409	-2.66667
ZNF84	0.00688035	0.570171
FEZ1	0.00695599	-1.234337
PKMYT1	0.00698882	-0.365044
IL15	0.00707557	-0.759879
POLR2E	0.0070761	-0.490247
C21orf33	0.00708539	-0.508388
PLAUR	0.00711908	-0.770939
FES	0.00714372	-0.374806
NDST1	0.00716211	-1.371432
CUL3	0.007182	-0.524184
KCNMB1	0.00721434	-0.579256
NA	0.00724847	-1.306944
SLC26A2	0.00728245	1.67527
EIF4H	0.0072864	-0.383918
NPY6R	0.00730269	1.477775
ATP5D	0.00730833	-0.571528
ZYX	0.00732197	-0.809818
RUNX1T1	0.00740812	0.942719
NA	0.007446	-0.533257
HK3	0.0074723	-0.767113
ITGAM	0.00750569	-0.762097
SLC25A5	0.00753633	-0.497285
HMGN1	0.00755821	-0.481247
TANK	0.00757328	-0.850854
SULT1A4	0.00759222	-0.700665
BLVRB	0.0075942	-0.844553
PDXK	0.00760882	-0.816246
NA	0.00766589	0.626748
ACSL1	0.00769704	-1.412242
IL4R	0.0077159	-0.514268
S100B	0.00773787	1.404916
PMPCA	0.00777307	-0.693474
TNFSF10	0.00782255	-0.850879
LILRB1	0.0078393	-1.006896
CALB2	0.00792735	-0.559396
ENO1	0.0079556	-0.422778
NA	0.00796046	-0.525124
RRH	0.00798064	0.886887
PEX1	0.00799932	0.361205
MARK3	0.00802693	-0.581024
PTP4A2	0.00808949	-0.416729
S100A10	0.00810518	-0.486061
CYB5R3	0.00811807	-0.485172
DGKQ	0.00815682	0.528814
BNIP1	0.0083282	0.32692
CCIN	0.00833666	1.028306
MAP1A	0.00833792	0.354294
SLC7A1	0.00834497	-0.62069
ETF1	0.00840202	-0.664476
PIP4K2A	0.00841611	-0.931454
CD101	0.00845809	-0.744206
ARPC1B	0.00850779	-0.503246
LMNB1	0.00852692	-0.649287
CD81	0.00858713	-0.499355
TM9SF2	0.00859614	-0.522339
NA	0.00859868	1.54026
LDLR	0.00861326	-1.073352
ANXA2	0.00863027	-0.48618
BTK	0.0086543	-0.637116
OLIG2	0.00865493	1.39858
FCGRT	0.00876668	-0.756375
BIRC2	0.00882426	-0.553386
NUP214	0.00889236	-0.504179
WAS	0.00896725	-0.522879
ASGR1	0.00901727	-1.01727
CAPN2	0.0090384	-0.427567
GOLGA2	0.0090477	0.447712
8-Mar	0.00914633	-0.920043
CYP4F2	0.00915421	-1.38653
CRADD	0.00916386	-0.708576
PFKP	0.00925732	-0.652503
PRNP	0.00930265	-0.867009
SLC11A1	0.00931875	-0.693919
ATF3	0.00936939	-1.231381
HLA-DOA	0.00939172	0.390603
TNFAIP2	0.0094114	-1.060004
IGHA2	0.00951997	-0.959138
CYP2E1	0.00959046	0.939043
BLOC1S1	0.00959576	-0.447044
FUT7	0.00966219	-0.815578
COMT	0.00968312	-0.756362
TOB2	0.00975057	1.29073
NAGA	0.00977282	-0.537896
NTSR1	0.00984657	-0.858445
NAP1L4	0.00987404	-0.520803
SLC11A2	0.00988772	1.18151
CD47	0.00991062	-0.522447
SFTPA2	0.00992903	0.487525
PITPNB	0.00994163	1.047744
UPP1	0.0100491	-0.598945
SLC14A1	0.01006625	-1.294729
NA	0.01008337	0.51826
YBX3	0.01008775	-1.14167
CYP11A1	0.01013961	0.949583
OMD	0.01022205	2.057714
ATP2B4	0.01032547	0.910709
NFYC	0.01032801	-0.461899
KIAA0232	0.01036383	-0.616808
TNK2	0.01040287	-0.526607
CBLB	0.01045716	0.684494
CYP1B1	0.01052596	-1.12138
FGF6	0.01056794	-1.136513
SIRPB1	0.01073542	-0.629901
NA	0.01076853	-0.457865
NA	0.0107868	-0.403074
QSOX1	0.0108514	-0.486953
MTA1	0.01087486	-0.648922
RBM6	0.01099419	1.283769
MT2A	0.01107919	-0.947011
ITSN2	0.01114514	-0.908836
AP2S1	0.01121022	-0.498609
MAP4K2	0.01124412	-0.596371
EIF2S2	0.01129676	-0.355559
NA	0.01132888	-1.61044
INPPL1	0.01133836	-0.495354
BCAT2	0.01135725	-0.426282
AHR	0.01137785	-0.734358
GPR1	0.01140313	-1.288232
PML	0.01141304	-0.433511
NCOR2	0.01145006	-0.667676
MKNK1	0.01150495	-0.583991
NA	0.01153614	-0.720727
CNGB1	0.01160016	-1.220108
SDCBP	0.01160791	-0.745822
CNP	0.0116375	-0.459367
CCNA1	0.01168518	-1.473999
SKIV2L2	0.01178148	0.541882
SIRPA	0.01188584	-0.741464
MRPL28	0.01197366	-0.423101
ONECUT1	0.01201229	-0.748472
ARHGEF6	0.01208624	-0.336997
BTC	0.01225435	1.435789
SLC2A3	0.01228767	-0.896335
HIST1H1C	0.01229331	-1.452756
LYST	0.01233669	-0.735954
NA	0.01239028	0.729292
NA	0.01239876	-0.862009
HNRNPD	0.01243457	-0.391633
CCKAR	0.0125593	-0.595482
BARD1	0.01258122	0.393433
BNIP2	0.01278184	-0.453805
TCEAL1	0.01279924	0.306693
SRP14	0.01281689	-0.332119
IGHM	0.01284518	-1.103252
CCR1	0.01285916	-0.956489
NA	0.01289859	1.106891
CD27	0.01290621	0.58144
SNRPC	0.01295135	-0.758173
S100A9	0.01297241	-0.65529
HPRT1	0.01304864	-0.646896
NA	0.01306323	0.322535
NA	0.01310352	-0.396738
NA	0.01312343	0.415333
AQP5	0.01325872	-0.810449
PPAT	0.01326865	0.528053
DCTN1	0.01345152	-0.472822
AMPD3	0.01350242	-0.550914
MAP4	0.01351833	-0.524814
SEPHS2	0.01352466	-0.538391
MOB1A	0.01364185	-0.516726
KRT6A	0.01373324	0.507237
BPGM	0.01376826	-1.251111
SNRPF	0.01380266	-0.456839
LIMK1	0.01384581	-0.438017
CAPZA1	0.01392462	-0.457592
HINT1	0.0139278	-0.426869
C4B	0.01395966	-0.776033
PTGS2	0.01404559	-1.664104
CHKB	0.01409606	-0.555905
NOS2	0.01417569	0.556367
SP110	0.01439514	0.669094
HSF4	0.01442246	-0.47169
HRAS	0.01448516	-0.469246
GABRB1	0.01453451	1.209823
CAMK2G	0.01457998	-0.543249
IDUA	0.01459017	-0.765862
PTPRD	0.01466753	1.139814
C5AR1	0.01469241	-0.887402
TCEA1	0.01478054	-0.499792
KCNJ4	0.01481386	-0.763317
NA	0.01482695	0.525416
CTDSP2	0.01489062	-0.428343
GPR162	0.0149548	-0.81822
MNDA	0.01497713	-0.681435
NOVA1	0.01506822	1.000996
NA	0.01510136	-0.564867
SEC23B	0.01518662	-0.543825
CACNB3	0.01527802	-0.368786
KHDRBS1	0.01536707	-0.630338
HIST1H2BC	0.01539867	0.669871
RALBP1	0.01542477	-0.587868
CD55	0.01555252	-1.049858
MFAP3	0.01565283	1.063988
PPP3CB	0.0156984	-0.420747
NPAT	0.01571731	1.736554
SRI	0.01575372	-0.462637
PLAGL2	0.01575551	-0.492907
NELFE	0.01577428	-0.485141
APOD	0.01578268	0.490075
PDLIM4	0.01582348	-0.614127
NFATC1	0.01585338	-0.59775
PAFAH2	0.01588457	0.621452
NA	0.01593745	-0.512155
NA	0.01594883	1.388804
MEF2A	0.01604189	-0.40814
SUPT5H	0.01611837	-0.525108
COX7B	0.0161764	-0.54227
FEZ2	0.0161817	-0.590904
PTGER2	0.01618455	-0.710219
C5	0.01620533	-1.10482
DUT	0.01620906	-0.480259
HMOX1	0.01628053	-0.735687
IGHMBP2	0.01629172	-0.629223
CDKN2D	0.01630151	-0.479482
PSMC3	0.01632884	-0.34281
IFI27	0.01634668	-2.733524
ATP2A2	0.01636438	-0.694729
QPCT	0.01639162	-0.499864
FOXD1	0.01645511	-1.283002
NA	0.01654645	0.727188
MICB	0.01662394	-0.302098
TJP2	0.01672286	-0.61976
ATP5J	0.01675373	-0.47222
PRDX3	0.01692314	-0.680144
RPIA	0.01692958	-0.697533
ZNF638	0.0169678	0.443495
PTAFR	0.01697315	-0.61483
CTRL	0.01715657	-0.459356
NA	0.01716214	0.773699
PDLIM7	0.01722719	-0.725491
SLC12A5	0.01728859	-1.599545
NCOA6	0.01731763	-0.554965
S100A1	0.01740896	1.137926
MCM3	0.01751675	0.576549
FOXK2	0.01752906	-0.879151
CD1D	0.0175479	-0.675163
S100A11	0.01756452	-0.51833
CTSD	0.0178274	-0.485293
ISL1	0.01783113	0.922972
IMPDH2	0.01794059	0.488763
CD151	0.01797693	-0.684443
APOBEC1	0.01806351	1.111374
CCR1	0.01809148	-1.068425
MYO1F	0.01812901	-0.707795
POLR2L	0.01817373	-0.421534
CHRNA4	0.0182522	-0.889248
NOTCH3	0.01826057	-0.807782
PRKCD	0.01831218	-0.547421
TSPO	0.01831272	-0.444059
NTRK3	0.0183564	1.300485
MX2	0.0184036	-0.496209
GLA	0.01843529	-0.332885
CXCL1	0.01857705	-1.651343
PCBP2	0.0186038	-0.579268
NR1D2	0.01864308	1.690017
VCL	0.01877184	-0.699126
TAF10	0.0188293	-0.523168
DCUN1D4	0.01897109	0.393616
ZNF280B	0.01898809	1.023803
BTN3A1	0.01905401	1.170104
NA	0.01910623	0.624569
NAIP	0.0191085	-0.532899
MAPK11	0.01924013	-0.727299
OSBP	0.01926456	0.832414
NTHL1	0.01928638	-0.549435
GNAQ	0.01932877	-0.474161
PYGL	0.01939713	-0.684853
YBX3	0.01942866	-0.955223
BRPF1	0.01948995	-0.661944
HBD	0.01961228	-0.552216
ETV5	0.01962462	1.398747
NFATC3	0.01962771	-0.645556
PGM1	0.01971057	-0.452459
PRKACB	0.01992006	0.88621
CDC34	0.01994327	-0.434888
TIMP4	0.01995051	1.214764
ICAM1	0.01997372	-1.2935
LAMP2	0.02001151	-0.746763
RTCA	0.02001509	-0.532656
STK3	0.0200366	-1.185803
SAG	0.02003793	-0.742715
EZH1	0.0201076	1.051748
CDH15	0.02012142	-0.598625
SGSH	0.02014274	-0.419538
NA	0.02015212	0.736664
MAP4K1	0.02016887	-0.488252
PIP5K1B	0.02016966	-0.445385
MTMR6	0.02020514	-0.439881
FASN	0.02025894	-0.884015
PCBD1	0.02030322	-0.328053
NA	0.02036303	-0.325673
PKN2	0.02040615	0.972366
HADHB	0.02044777	-0.591996
B4GALT1	0.02048236	-0.622974
ZMAT2	0.0205862	1.160444
ACADVL	0.02060812	-0.583722
SNX1	0.0206151	-0.548271
NFKBIE	0.02068623	-1.4304
PRCP	0.02080992	-0.405088
DMPK	0.02081336	-0.626457
PXN	0.02081682	-0.326715
NA	0.02083362	-1.027003
NA	0.02089371	-0.598501
NA	0.02091873	-0.414009
YWHAE	0.02095754	-0.624519
ALX1	0.02101712	1.150539
GAPDH	0.02110959	-0.460083
NA	0.0212002	-0.918445
SFXN3	0.02120385	-0.469376
FPR2	0.02126274	-1.085273
PTX3	0.0213176	-0.666089
LGALS1	0.02139341	-0.590749
CASP9	0.02141269	-0.311582
SPHAR	0.02141729	-0.458517
EBNA1BP2	0.02172221	-0.39116
MYO7A	0.02172348	-0.921274
CAT	0.02181899	-0.427751
YLPM1	0.02215929	0.902789
GCA	0.02220443	-0.696004
TNF	0.02230565	-1.401744
APOBEC3B	0.02236227	-0.63764
TIAL1	0.02246064	-0.473649
RDH5	0.02250014	-0.767852
SOX5	0.02252835	1.126808
GCH1	0.0226383	-0.543301
NA	0.02264758	-0.551236
GPR21	0.02266581	-1.1248
SERTAD2	0.02266622	-0.502419
GNAS	0.02284646	-0.266706
PTS	0.0229502	-0.617721
GFAP	0.02297531	-0.258702
PDE6C	0.02307186	1.265781
ZKSCAN1	0.02311382	0.445598
MGAT1	0.02317475	-0.395154
PBX2	0.02320298	-0.399359
USP10	0.02338465	-0.641725
ISG15	0.02339025	-0.625503
CSRP1	0.02344318	-0.375228
MLH1	0.02347725	0.312678
YBX1	0.023618	-0.48377
FBL	0.02370178	0.308308
LLGL1	0.02375934	-0.554794
NA	0.02377096	0.699219
AVL9	0.02388017	-0.69448
EXOSC10	0.0239467	-0.364138
LILRB4	0.02398644	-0.478514
PIM2	0.02398985	-0.614567
EPHA4	0.02402637	1.181718
LMAN1	0.02413289	0.475639
ETS1	0.02419276	1.447457
ADCY7	0.0245457	-0.570477
NA	0.02471273	-0.90566
PSMB4	0.02497583	-0.401622
NA	0.02498221	-0.829867
NA	0.02500936	0.892808
MYH9	0.02518247	-0.367225
CST3	0.02542646	-0.475964
NA	0.02542929	-0.81114
MFGE8	0.02551859	-0.583312
PSMB10	0.02563466	-0.543771
BAD	0.02596403	-0.280123
ERBB3	0.02630715	-0.805675
NA	0.0263286	-0.421287
KIAA0247	0.02633138	-0.58317
CASP7	0.02634226	-0.708876
SLC4A1	0.02652299	-1.758607
RENBP	0.02652788	-0.415804
TGFBI	0.02654858	-0.560452
PSMD2	0.02660836	-0.31513
ATM	0.02671486	0.738536
NCKAP1L	0.02673662	-0.364792
MAN2B1	0.02676582	-0.476927
UBXN2B	0.0267691	-0.680377
ATOX1	0.02689998	-0.32591
UCP2	0.02690379	-0.472194
HNRNPH1	0.02690954	-0.757451
SLC6A8	0.02701727	-1.076362
ST6GALNAC2	0.02725969	-0.721089
GAPDH	0.02731943	-0.811741
NA	0.02737352	0.687294
CD80	0.02786545	1.011416
PPM1F	0.0279257	-0.423984
RPA1	0.02794138	0.62466
TXNDC9	0.02810272	0.396176
TMEM97	0.02823975	0.434666
6-Mar	0.02827993	1.095272
RIPK1	0.0283245	0.439745
LEPROT	0.02842433	0.974037
MAN2A2	0.0284463	-0.512023
CUL2	0.02847845	-0.406073
RGS1	0.02849407	-0.710533
CEBPG	0.02849946	-0.448186
IGFALS	0.02852097	-0.572521
ZNF177	0.02858878	0.72933
PSME2	0.0286848	-0.658992
SLC35D1	0.02872547	-0.496503
FGF2	0.02886055	1.079746
NA	0.02889799	1.494754
C3AR1	0.0290827	-0.678464
NA	0.02916325	-1.128716
MUC5B	0.02917161	-0.492276
CDH4	0.02919445	0.806494
NA	0.02926881	-0.459004
P2RY10	0.02937043	0.521619
STAT5A	0.02966465	-0.464832
FUCA1	0.02976847	-0.460813
CCR5	0.02980399	1.198902
BTG2	0.029815	-0.540484
IFIT3	0.02982914	-1.097879
LMO1	0.02983107	-1.028065
ZP2	0.02989118	-0.361166
LSM1	0.02997272	-0.378239
P2RX1	0.03002355	-0.44622
CCL25	0.03018555	0.665449
SPINT2	0.03020052	-0.317488
NA	0.03024732	0.92845
ABCD3	0.03036671	0.526007
NQO2	0.03038778	-0.511111
TFAP2B	0.03040681	-0.771889
PLSCR1	0.03044175	-0.569923
PSMB1	0.03047218	-0.353675
MLH3	0.03070497	0.778669
