#Gene	P.Value	logFC
GUCY1B3	1.01E-11	-1.0591017
FTH1	1.01E-11	-0.5316206
EGR3	1.07E-11	-1.192115
NPRL2	1.12E-11	2.1956996
RASSF1	1.13E-11	0.7121061
CLU	1.24E-11	-1.2341791
HIST1H2BE	1.28E-11	-0.6977959
TUBA3D	1.29E-11	-0.4480602
BMS1	1.31E-11	0.77117
TAX1BP3	1.35E-11	-0.8246756
CORO1C	1.45E-11	-0.6641241
DDX39A	1.48E-11	0.7809601
RAB1B	1.53E-11	-0.6471818
SUPT7L	1.54E-11	0.5625385
ACSBG1	1.54E-11	-1.3146062
UBE2I	1.56E-11	0.4117088
SLC33A1	1.59E-11	0.6608704
NARS	1.71E-11	0.512712
SNAP23	1.78E-11	-0.58799
RAB11A	1.84E-11	-0.4625815
ZAP70	1.85E-11	1.1811079
EGR2	1.89E-11	-1.4524045
MACF1	1.90E-11	0.7832154
EPOR	1.94E-11	-0.6331819
FUBP1	1.97E-11	0.8944802
MYL9	2.09E-11	-2.5909857
TPM1	2.10E-11	-1.0509904
XCL2	2.12E-11	1.7590618
CD160	2.21E-11	1.3031725
WBP2	2.54E-11	-0.6054591
RBM25	2.54E-11	0.7145802
PWP1	2.65E-11	0.4815356
NPTN	2.67E-11	-0.5120539
KRI1	2.71E-11	1.6451704
5-Sep	2.71E-11	-1.3914774
GSAP	2.94E-11	0.811216
ENDOD1	3.11E-11	-0.604821
MRPL9	3.26E-11	0.8042222
QKI	3.27E-11	-0.5773861
WIPF1	3.39E-11	-0.5483739
UVRAG	3.64E-11	0.6190182
WIPI1	3.69E-11	-0.8103191
NACA	3.77E-11	0.8649776
PNN	3.78E-11	0.7822698
SUZ12	3.82E-11	0.6368277
NA	3.97E-11	0.8015957
XK	3.98E-11	-1.1791465
LCN2	4.02E-11	-1.1979157
CD93	4.09E-11	-0.9026095
PTGDS	4.09E-11	1.121416
C1orf174	4.15E-11	0.4745816
HIST1H2BH	4.63E-11	-1.2073592
PLCG1	5.34E-11	0.8047084
CCNL2	5.50E-11	1.5210082
MTO1	6.07E-11	0.5159635
SUGP2	6.21E-11	0.7688093
RAB7A	6.40E-11	-0.637311
RPL10	6.61E-11	0.7995478
SPHAR	6.72E-11	-0.6668012
HLTF	6.84E-11	0.6472634
ABT1	7.01E-11	0.6254215
GNG5	7.02E-11	-0.5329019
BUB3	7.38E-11	0.7566385
ELK3	7.62E-11	-0.5870287
KRR1	7.99E-11	0.6687074
SLC20A1	8.61E-11	0.5107354
DNAJB6	9.10E-11	-0.759729
S100A11	9.65E-11	-0.9083308
ARID4B	9.75E-11	0.7343611
MAPKAPK5-AS1	9.99E-11	0.860783
HIST1H2AG	1.00E-10	-1.2345285
DKC1	1.06E-10	0.8016222
SDC2	1.08E-10	-2.2951337
PPP2R5A	1.08E-10	0.4057658
PF4V1	1.10E-10	-1.9645146
GABARAP	1.14E-10	-0.4516619
CLU	1.21E-10	-1.1690475
H3F3AP4	1.21E-10	-0.3883774
WDR1	1.22E-10	-0.4731302
PHLDA1	1.25E-10	-1.4816264
SAFB	1.28E-10	1.1509817
GPR97	1.29E-10	-1.4115512
HNRNPU	1.31E-10	0.514088
SSBP1	1.33E-10	0.7435392
EWSR1	1.36E-10	0.410198
TSC22D1	1.43E-10	-0.7266733
FOSL1	1.51E-10	-1.7712904
CCR1	1.56E-10	-1.0718843
WIPF1	1.59E-10	-0.6963435
MPP1	1.60E-10	-0.9780887
ADCK3	1.60E-10	0.5528979
TFB2M	1.65E-10	0.6450191
RNF24	1.66E-10	-0.8175512
RTN2	1.73E-10	-0.7123029
KAT6B	1.77E-10	0.7719272
SIRPA	1.82E-10	-0.7303436
OGT	1.86E-10	0.6873146
WIPI1	1.90E-10	-0.9023259
TPM1	1.95E-10	-0.9948025
HNRNPD	1.95E-10	0.6384476
MEIS1	2.00E-10	-0.7927655
DSE	2.01E-10	-1.0103634
ITGB5	2.04E-10	-0.7598875
FBXO21	2.07E-10	0.7879322
HIGD1A	2.11E-10	-0.533397
GLA	2.12E-10	-0.5308462
HIST1H2BC	2.14E-10	-1.0248304
APH1B	2.14E-10	-0.5331688
LY6G5C	2.16E-10	-0.5237567
EGR1	2.20E-10	-1.3878836
DDX47	2.21E-10	0.809441
VCP	2.22E-10	0.4141759
THBS1	2.34E-10	-2.2932588
CLK4	2.48E-10	0.6469296
CCDC93	2.51E-10	0.6560912
CTTN	2.51E-10	-0.8910388
PICALM	2.53E-10	-0.7069033
NGLY1	2.63E-10	0.5916411
NAMPT	2.64E-10	-0.9955222
SUGP2	2.68E-10	1.4753336
MATK	2.70E-10	1.1145732
PICALM	2.75E-10	-0.7248606
BUB3	2.88E-10	0.5852386
PDGFC	2.92E-10	-0.6516599
MCUR1	2.96E-10	-0.6339338
PLAUR	2.98E-10	-1.2306791
SRSF5	3.05E-10	0.5381966
HIST1H2BF	3.06E-10	-0.7545927
ITGB3	3.27E-10	-1.3004635
TUBB1	3.43E-10	-0.8705181
UBE2B	3.43E-10	-0.6077684
SPARC	3.49E-10	-1.0421377
PTGS1	3.67E-10	-1.1921846
PROS1	3.68E-10	-1.1371624
EIF4G1	3.74E-10	0.4155397
ZNF185	3.74E-10	-0.6456236
FKBP11	3.78E-10	0.9486902
PRKAR1A	3.82E-10	-0.5211236
TPM4	3.96E-10	-0.6789732
RASGRP2	3.98E-10	0.9453703
GZMK	4.01E-10	1.280819
FAXDC2	4.26E-10	-1.3541456
CCT2	4.26E-10	0.5854386
NUP88	4.35E-10	0.7356907
MAFB	4.61E-10	-0.9931305
LAPTM4B	4.65E-10	-0.7066951
KDM1A	4.81E-10	0.4145862
ABCD3	5.16E-10	0.8345565
VDR	5.43E-10	-0.7544482
PRPF8	5.43E-10	0.5026227
VAMP1	5.52E-10	0.6079622
SIRPA	5.67E-10	-0.5404575
FCAR	5.78E-10	-1.3618352
TRIB1	5.88E-10	-1.0479063
PABPN1	5.97E-10	0.7284651
METAP1	6.67E-10	0.4036841
RGS10	6.99E-10	-0.3768207
PDZK1IP1	7.23E-10	-0.9260913
PDLIM7	7.29E-10	-0.8453515
FHL2	7.33E-10	-1.3306751
RHOT2	7.44E-10	0.6747456
FCER1G	7.61E-10	-0.699974
GNB1	7.79E-10	-0.3807888
ZFP36L2	7.85E-10	1.4178993
DUT	8.07E-10	0.6770804
USP7	8.50E-10	0.4904314
METTL22	8.67E-10	-0.5340525
MBOAT7	8.69E-10	-0.879425
PLA2G12A	8.74E-10	-0.7645556
LZTFL1	9.02E-10	0.5867696
KLRB1	9.47E-10	0.9221484
PCNT	9.58E-10	0.5938129
ANXA11	1.00E-09	-0.4113742
TNFRSF1B	1.00E-09	-0.6825032
NAMPT	1.01E-09	-1.0056233
SNRNP35	1.03E-09	1.1298749
OGT	1.07E-09	0.5921926
S100A11	1.07E-09	-1.1665475
ITGA2B	1.09E-09	-1.2411718
CCND2	1.10E-09	0.5575798
RBM5	1.13E-09	0.4950141
ITGA2B	1.13E-09	-1.4249231
CXCL2	1.14E-09	-2.1769305
FAM110B	1.17E-09	-1.3070053
NT5M	1.17E-09	-0.9089656
NCAM1	1.19E-09	1.0632175
U2SURP	1.19E-09	0.569017
PGK1	1.25E-09	-0.4470905
RBM19	1.27E-09	1.3264358
PTCRA	1.29E-09	-0.5739298
RFC1	1.30E-09	0.6147954
PRPF4B	1.30E-09	0.6392724
UBE2G1	1.39E-09	0.4239421
MSRA	1.42E-09	-0.4685926
OGT	1.45E-09	0.7760893
FAXDC2	1.47E-09	-0.7513938
CHTOP	1.48E-09	0.8124349
CYLD	1.49E-09	1.7499201
SUGP2	1.51E-09	0.5125967
TMEM87A	1.51E-09	0.5561637
WASF3	1.51E-09	-0.7964481
MAPKAPK5-AS1	1.53E-09	0.5991417
NAT8B	1.53E-09	-0.8530355
SFPQ	1.53E-09	0.6175741
NCK1	1.54E-09	0.5338157
SLC38A1	1.55E-09	1.0747194
PTGDS	1.56E-09	1.0163718
DCUN1D4	1.59E-09	0.5088394
PARP2	1.60E-09	0.3953666
MGLL	1.62E-09	-0.7869354
VAMP7	1.64E-09	-0.4294887
EMR2	1.65E-09	-1.0230538
SUPV3L1	1.66E-09	0.8412511
DUT	1.67E-09	0.7284376
TOR4A	1.71E-09	-0.5646986
NSUN5P2	1.71E-09	1.3922355
UTRN	1.72E-09	0.4261005
MYLIP	1.73E-09	1.2619735
TTC38	1.73E-09	1.4899016
TFE3	1.74E-09	-0.5212154
RAN	1.74E-09	0.5223655
ITGB3	1.74E-09	-0.8099054
MMP9	1.77E-09	-1.2640369
PRPS1	1.79E-09	0.4550663
ITGA2B	1.80E-09	-2.182728
KDM2A	1.81E-09	1.2123036
SPON2	1.81E-09	0.8458313
FRYL	1.99E-09	0.5715366
NSUN5	2.01E-09	1.0071791
HNRNPA1	2.01E-09	0.534107
KPNA6	2.07E-09	0.6184085
KAT6B	2.08E-09	0.3987435
PPIF	2.12E-09	-0.8959072
NKTR	2.16E-09	0.5724236
CABP5	2.21E-09	-1.4535208
PLSCR1	2.21E-09	-0.7398538
STK24	2.22E-09	-0.3350007
AIP	2.24E-09	0.4535977
TMEM259	2.27E-09	1.1066464
ACIN1	2.31E-09	0.4875104
SLC12A6	2.32E-09	-0.6302909
ZFP36L2	2.39E-09	0.970351
CDC14B	2.44E-09	-0.7445365
RRAGD	2.51E-09	-0.6605159
BMP6	2.51E-09	-0.4943325
ZBTB16	2.57E-09	0.7969688
CTDSPL	2.59E-09	-1.2414435
GZMB	2.63E-09	1.1248991
IL1RN	2.70E-09	-1.2350871
RFC4	2.70E-09	0.5422385
THBS1	2.82E-09	-2.1267707
EPB41L3	2.85E-09	-1.1658955
PHC2	2.97E-09	-0.6465059
SLC24A3	2.99E-09	-0.9943329
CCDC93	3.06E-09	0.8250301
COMMD3	3.12E-09	0.4382786
EZH2	3.14E-09	0.9169817
GZMA	3.21E-09	1.2344536
RASSF2	3.31E-09	-0.4883301
SLC7A6	3.31E-09	0.4974317
FAM98A	3.35E-09	0.6158915
PAXBP1	3.50E-09	0.5027165
GNAZ	3.59E-09	-0.6360324
ARAP2	3.63E-09	0.6548617
ELF2	3.73E-09	0.7998021
METTL17	3.78E-09	0.5949099
CD7	3.78E-09	0.9408056
MED1	3.81E-09	0.9422166
NONO	3.88E-09	0.3678048
SRSF11	4.10E-09	0.826179
IL1R2	4.13E-09	-1.8736064
RBBP6	4.22E-09	0.915533
ATG13	4.23E-09	0.3870989
ANAPC5	4.26E-09	0.6273208
SRSF10	4.27E-09	1.3246087
CLEC1B	4.35E-09	-0.6852605
CELF1	4.37E-09	1.2902573
NOL11	4.45E-09	0.6869774
NSUN5P1	4.47E-09	1.1632257
CD86	4.58E-09	-0.7935302
ERCC3	4.61E-09	0.4774328
C15orf39	4.68E-09	-0.7567653
BRD2	4.78E-09	0.8301949
PNISR	4.93E-09	0.4743313
MARK2	5.09E-09	1.8839904
EDRF1	5.23E-09	0.6579372
VILL	5.29E-09	0.8515865
ENGASE	5.35E-09	0.8645865
SMOX	5.53E-09	-1.1612345
PPIB	5.56E-09	0.5093732
PDAP1	5.64E-09	0.6508307
MGEA5	5.77E-09	0.6047231
PDGFA	5.82E-09	-0.614599
MIEF1	5.87E-09	0.5764585
ARHGAP6	5.91E-09	-0.8550505
AMY2B	6.05E-09	0.8132733
MAX	6.06E-09	-0.3681506
LETM1	6.07E-09	0.5401865
EPB41L3	6.11E-09	-0.9356407
TRAF3IP3	6.13E-09	0.7294858
AKAP8	6.15E-09	0.4313494
GNL2	6.16E-09	0.565229
MPHOSPH10	6.34E-09	0.8920299
HSBP1	6.44E-09	-0.5200904
GAB2	6.53E-09	-0.7277172
EHD3	6.58E-09	-0.8981281
THBD	6.63E-09	-1.5603506
PPWD1	6.72E-09	0.6958813
HMGB1	6.89E-09	0.6315892
PTGDS	6.96E-09	0.7522944
ZMYND8	7.10E-09	0.6578953
TUBA4A	7.12E-09	-0.45396
PSMD6	7.20E-09	0.4275619
MACF1	7.23E-09	0.5493884
GZMM	7.29E-09	0.8541163
LAS1L	7.47E-09	0.9130135
CUL2	7.59E-09	0.6028452
FSTL1	7.61E-09	-0.7114209
IQCB1	7.93E-09	0.4198629
NSUN5P1	7.98E-09	1.4102911
SGSM3	8.31E-09	0.6386372
MRPL17	8.61E-09	0.7711793
IP6K2	8.81E-09	0.5406665
CD58	8.86E-09	-0.7681895
EREG	8.94E-09	-1.603154
ZNF22	9.04E-09	0.7038648
YWHAH	9.11E-09	-0.5027683
NCOA4	9.28E-09	-0.4744332
UTP18	9.41E-09	0.5895697
ZBTB22	9.45E-09	-0.4767395
HRASLS	9.45E-09	-0.8165444
DDX39B	9.77E-09	1.1373987
LRPPRC	9.84E-09	0.4495833
GNAQ	9.85E-09	-0.4353773
UBE2N	9.93E-09	0.4549241
SEC31B	1.03E-08	1.2362582
CLIC3	1.03E-08	2.1035663
RBX1	1.07E-08	-0.5635748
NSUN5P2	1.08E-08	1.4363653
SAT1	1.09E-08	-0.3750245
ZFP36	1.11E-08	-0.5561192
KLHDC2	1.14E-08	0.5396694
NONO	1.18E-08	0.3839089
FUBP1	1.18E-08	0.5943132
NCK1	1.20E-08	0.632804
AGAP1	1.21E-08	0.7582321
CCT2	1.21E-08	0.759201
CELF2	1.23E-08	1.2464251
CXCL3	1.23E-08	-2.066249
CD86	1.23E-08	-0.8673637
CD58	1.23E-08	-0.7404312
GSAP	1.24E-08	0.7365943
HMGB1	1.26E-08	0.3540631
CYB5R1	1.30E-08	-0.4142081
SRSF10	1.31E-08	0.7261891
LUC7L3	1.33E-08	0.7374727
FPR1	1.34E-08	-1.1906206
MSH6	1.35E-08	0.4431227
ZNF211	1.37E-08	0.400425
AKR1C3	1.37E-08	1.4161956
SLC19A1	1.37E-08	-0.8351721
CSNK2A1	1.38E-08	1.5144086
SGSM3	1.39E-08	0.7065324
ITGB5	1.39E-08	-0.9458526
RPF1	1.41E-08	0.5835708
TGFB1I1	1.44E-08	-0.6646868
SNRNP200	1.44E-08	0.4681008
SOCS3	1.44E-08	-0.8788983
DYNLL1	1.44E-08	-0.823575
PARVB	1.45E-08	-0.5172916
EDC4	1.46E-08	0.7029086
CXCL8	1.49E-08	-1.350684
PPP5C	1.49E-08	0.9990358
TPM4	1.52E-08	-0.5239047
MACF1	1.54E-08	0.4141597
PTGS2	1.56E-08	-1.8698341
NGDN	1.60E-08	0.5190552
MRPL16	1.62E-08	0.4090571
EED	1.63E-08	0.6361811
LITAF	1.64E-08	-0.4813828
HNRNPM	1.66E-08	0.3529221
RNF19B	1.66E-08	-0.5778643
NLRP1	1.67E-08	0.5429509
SOD2	1.70E-08	-1.0087297
ATM	1.70E-08	1.0618161
ATM	1.70E-08	0.8279043
HSPD1	1.73E-08	0.5958073
PRPF38B	1.74E-08	0.6044998
BUB3	1.75E-08	0.4185418
FAM134A	1.77E-08	-0.401986
WSB2	1.78E-08	-0.4959423
AES	1.78E-08	0.5462168
WDR48	1.78E-08	0.4097952
HIST1H2BI	1.80E-08	-0.6714913
ETFA	1.86E-08	-0.5049526
FAN1	1.88E-08	1.0886054
CELF1	1.90E-08	0.9062166
CYFIP2	1.93E-08	0.7683363
WBSCR22	1.96E-08	0.4750242
FAM21D	1.98E-08	0.3930535
CSE1L	2.03E-08	0.6160364
MED17	2.04E-08	0.6795795
FOSB	2.05E-08	-1.6881169
DUSP3	2.09E-08	-0.5524154
DOCK4	2.11E-08	-1.0294557
EIF2B5	2.12E-08	0.4714481
RFC1	2.18E-08	0.5466572
PAXBP1	2.20E-08	0.3824638
VNN3	2.21E-08	-1.2210876
HOMER2	2.22E-08	-0.897982
USP34	2.22E-08	0.8875718
LRP10	2.22E-08	-0.5858907
TCP1	2.24E-08	0.3712516
RAP2B	2.27E-08	-0.4976336
ZNF37BP	2.31E-08	1.5040388
TSN	2.34E-08	0.4225185
TIMP1	2.41E-08	-0.9773703
GALNT1	2.42E-08	-0.4153983
TRIB2	2.44E-08	0.7241648
WDR59	2.50E-08	0.5036304
PQLC1	2.56E-08	-0.8113177
NA	2.57E-08	0.471538
HSPA9	2.69E-08	0.632651
MRPL35	2.69E-08	1.180068
ACTR1A	2.75E-08	-0.4087772
SUPT4H1	2.78E-08	-0.3628289
GAS2L1	2.81E-08	-0.6829885
ZFAND6	2.87E-08	1.7062767
ADIPOR2	2.87E-08	-0.3875406
SAT1	2.92E-08	-0.3612566
HNRNPL	2.93E-08	0.8125583
SIGIRR	2.95E-08	0.5939727
AIP	3.02E-08	0.5062439
U2AF2	3.03E-08	0.7139116
TPD52L2	3.05E-08	-0.5544248
REPS1	3.10E-08	0.991441
TOP3B	3.10E-08	1.1212438
SDR39U1	3.11E-08	0.5146921
LIPT1	3.14E-08	0.5222266
SLC11A1	3.24E-08	-0.5665029
RTFDC1	3.28E-08	-0.3857179
TAGLN2	3.29E-08	-0.6069133
MRPS22	3.38E-08	0.3915045
CDK10	3.47E-08	0.7694721
KLRD1	3.50E-08	0.816802
SRSF7	3.51E-08	0.8380676
DHX38	3.66E-08	0.5574224
AGPAT1	3.70E-08	-0.6216564
PWP1	3.83E-08	0.4081088
SLC2A3	3.86E-08	-0.6052353
PHLDA2	3.95E-08	-0.9885229
MTDH	4.08E-08	0.7152954
DNAJC2	4.11E-08	0.6921252
ELAC2	4.14E-08	0.9820639
MYO15B	4.14E-08	0.5608969
TMPO	4.22E-08	0.6604424
PLXDC1	4.29E-08	0.8174682
TTC3	4.34E-08	0.9817093
PDXK	4.35E-08	-0.5753171
SZRD1	4.36E-08	1.0388149
TLR2	4.39E-08	-0.8411613
RABGGTB	4.40E-08	0.5916706
MED6	4.42E-08	0.7012392
PLSCR1	4.44E-08	-0.7720308
MAP1LC3B	4.50E-08	-0.4615709
TNFRSF25	4.62E-08	1.2095844
DKC1	4.65E-08	0.4632539
PARVB	4.66E-08	-0.4794851
ENC1	4.68E-08	0.7251322
SEMA6B	4.83E-08	-0.9142478
TXK	4.83E-08	0.73316
NUP85	4.86E-08	0.4193738
CLMN	4.88E-08	-0.6269081
DHX15	4.94E-08	0.5600094
LOC100272216	4.99E-08	1.3008894
GOLGA8A	5.05E-08	0.7637635
PDCL3P4	5.05E-08	0.5317466
SNX1	5.09E-08	0.871159
ADIPOR1	5.10E-08	-0.9226501
ZFAND3	5.12E-08	-0.4168487
GIGYF2	5.12E-08	0.3528771
RPL37A	5.13E-08	0.5881547
SYNCRIP	5.16E-08	0.4009285
SMN2	5.17E-08	0.7215259
DOK3	5.20E-08	-0.5560461
ACAD8	5.21E-08	0.4145117
LARP7	5.30E-08	0.4737284
TRD	5.35E-08	0.9126759
GTF2F1	5.38E-08	0.3017917
VEZF1	5.38E-08	0.4099727
ATP6V0E1	5.41E-08	-0.4368193
SOX4	5.43E-08	0.7022755
RRM1	5.46E-08	0.5046436
ZMYND8	5.54E-08	1.1902167
NCALD	5.72E-08	0.571845
MARS	5.75E-08	0.3953039
GOLGA8B	5.82E-08	0.8250877
LTN1	5.84E-08	0.4638955
ABCE1	5.89E-08	0.5047553
ID2B	5.89E-08	0.6779048
ZCCHC24	5.90E-08	1.4758412
THADA	5.91E-08	0.9175819
SNN	5.92E-08	-0.3434425
ZNF195	5.92E-08	0.5061679
TGM2	5.97E-08	-1.0992154
HEY1	6.04E-08	-0.950908
SLC15A3	6.05E-08	-0.612215
DAP	6.05E-08	-0.5034892
SLC25A37	6.09E-08	-1.1532659
MPHOSPH9	6.14E-08	1.0549873
SCN1B	6.14E-08	-0.4744538
DHX15	6.16E-08	0.4468795
RRP15	6.17E-08	0.6728633
XPO1	6.23E-08	0.5004604
BCL2A1	6.26E-08	-1.0492621
CHSY1	6.30E-08	-0.5777113
PATZ1	6.31E-08	0.6004255
DYNLRB1	6.43E-08	-0.3343131
WDR48	6.57E-08	0.9587086
UBE2N	6.65E-08	0.4382095
RNF144A	6.66E-08	1.2973621
TRDV3	6.72E-08	1.1038434
PNISR	6.74E-08	0.8747167
PMPCA	6.77E-08	0.3860844
NAE1	6.80E-08	0.4893996
ARGLU1	6.85E-08	0.4176202
ABCF1	6.85E-08	0.4492324
KDM2A	6.89E-08	0.4576087
KIF2A	6.97E-08	-0.4018387
SPRY2	7.02E-08	-1.2746175
HCFC2	7.02E-08	0.5156331
NFATC2IP	7.04E-08	0.3968748
GNA12	7.07E-08	-0.5271655
COPS5	7.10E-08	0.488743
HNRNPD	7.13E-08	0.433368
BMP2K	7.20E-08	-0.7809031
FBXO11	7.35E-08	0.6912709
TNIK	7.54E-08	0.7644502
PAPSS2	7.57E-08	-0.845941
MTRF1	7.68E-08	1.2241433
PARP2	7.71E-08	0.7261011
HMGXB4	7.80E-08	1.0097287
VCL	7.88E-08	-0.59979
UBE2B	7.89E-08	-0.4272971
ZBTB20	7.89E-08	1.5404014
RNF19B	7.92E-08	-0.5472288
TMEM259	7.92E-08	1.0385272
CRK	7.99E-08	-0.5301425
SRSF1	8.00E-08	0.5308422
SAP30BP	8.01E-08	0.5970814
DCTD	8.01E-08	0.3978623
GNG10	8.15E-08	-0.7031256
RUFY3	8.24E-08	1.7091018
LIMK2	8.24E-08	-0.9637595
NUP107	8.35E-08	0.4111639
QKI	8.35E-08	-0.6405962
LOC100510525	8.36E-08	0.6852782
MYCBP2	8.41E-08	2.1173915
EXOSC8	8.45E-08	0.5403771
JADE1	8.47E-08	0.4611177
FEZ1	8.57E-08	0.5407715
PAN2	8.59E-08	0.9074171
RANGRF	8.72E-08	0.4523955
VPS37C	8.77E-08	-0.588717
IL10	8.80E-08	-1.0633141
HSPD1	8.86E-08	0.4185646
FKBP11	8.88E-08	0.7128804
PRPF39	8.88E-08	0.5369587
PRPF4B	8.99E-08	0.5979965
GMPR	9.23E-08	-1.1468521
STX16	9.24E-08	0.6848698
DHX30	9.52E-08	0.3784739
METTL3	9.52E-08	0.85521
ALDOA	1.00E-07	-0.409584
SLC35D1	1.01E-07	0.5927838
ASAH1	1.02E-07	-0.353039
CLK2	1.03E-07	0.6112844
DLG5	1.04E-07	1.3191058
PCTP	1.05E-07	-1.6373396
BUB3	1.05E-07	0.5499387
LYN	1.06E-07	-0.4065835
KLRG1	1.08E-07	0.4860254
SIVA1	1.08E-07	0.4148002
GARS	1.08E-07	0.3614796
CCNT2	1.10E-07	0.579367
PRKCH	1.11E-07	0.6317689
TBX2	1.12E-07	-0.9463009
HNRNPH1	1.13E-07	1.5554957
TLR4	1.15E-07	-0.7211173
YME1L1	1.15E-07	0.3872085
ABCC3	1.16E-07	-1.4396193
HIST1H4H	1.17E-07	-0.9102629
MRFAP1L1	1.19E-07	0.5490748
CTSA	1.20E-07	-0.5333782
THBD	1.20E-07	-1.7263256
KLRK1	1.20E-07	0.6968834
CTNNA1	1.21E-07	-0.5337232
GLUL	1.22E-07	-0.4822197
NASP	1.22E-07	0.7280987
KNTC1	1.28E-07	0.9595353
EGF	1.28E-07	-0.7994897
DUSP6	1.28E-07	-0.963132
TCP1	1.29E-07	0.3989466
PRKAR1A	1.29E-07	-0.4997507
NA	1.30E-07	0.5226324
KBTBD2	1.31E-07	0.4241818
TRAF3IP3	1.34E-07	0.7791889
ITGB3	1.34E-07	-1.1959409
TRIT1	1.34E-07	0.4189196
CREBZF	1.35E-07	0.6599355
GDPD5	1.36E-07	1.2137692
INSIG1	1.37E-07	-0.7665208
MARCKS	1.37E-07	-0.7392894
MIEF1	1.40E-07	0.5041781
PPP1R15A	1.40E-07	-0.7538871
