#Gene	P.Value	logFC
POLD2	9.31E-12	-1.182568
FAXDC2	9.34E-12	1.138833
UBE2D4	9.66E-12	1.025976
HNRNPAB	9.92E-12	-1.372684
KDELR2	1.01E-11	-2.108188
SPN	1.04E-11	1.918695
GDI2	1.05E-11	-1.320857
SDHD	1.06E-11	1.055074
SSX2IP	1.11E-11	1.164589
ZNF236	1.16E-11	1.263571
GSTM5	1.18E-11	0.979677
TAS2R13	1.18E-11	1.088738
RNF10	1.19E-11	-1.042145
HNRNPU	1.23E-11	-1.264607
MCM3AP	1.26E-11	1.6767
PDIA6	1.36E-11	-1.577793
ALK	1.37E-11	1.119805
EIF4A1	1.39E-11	-1.487354
DKC1	1.39E-11	-1.128736
NA	1.42E-11	1.419342
NELFCD	1.51E-11	-1.670819
NA	1.52E-11	1.154156
FGFR1	1.52E-11	1.016833
ELAVL1	1.52E-11	-1.349443
WNT16	1.54E-11	0.782218
SLC30A5	1.55E-11	1.496187
TEX14	1.57E-11	0.794023
ITGB3	1.63E-11	1.082229
KIAA1654	1.74E-11	1.03112
NA	1.90E-11	0.786964
NA	2.00E-11	0.783346
NA	2.07E-11	1.310357
SLC5A4	2.09E-11	0.985481
NA	2.11E-11	1.91001
SYT2	2.12E-11	1.193589
HSPA8	2.15E-11	-1.206285
ASAP3	2.28E-11	0.968038
NA	2.36E-11	1.343386
EFR3B	2.37E-11	1.073008
YWHAZ	2.40E-11	-1.386962
MORF4L2	2.42E-11	-1.245706
MCM7	2.44E-11	-1.283801
HSPA9	2.61E-11	-1.504479
HMGN1	2.66E-11	-1.258704
MAGEL2	2.67E-11	1.009984
ZNF835	2.79E-11	1.715815
SUMO2	2.80E-11	-0.970489
YWHAZ	2.80E-11	-1.633917
NA	2.82E-11	1.371603
OR7A5	2.88E-11	1.073532
POLG	2.94E-11	0.849306
NOP56	3.02E-11	-1.448655
RPN2	3.09E-11	-1.60919
ILF2	3.17E-11	-1.739412
DAZ4	3.39E-11	1.980123
NTRK3	3.54E-11	1.127755
RPN2	3.60E-11	-1.661063
MBL2	3.66E-11	0.98007
ASIC1	3.68E-11	0.971279
ETV1	3.68E-11	0.949805
FAM50A	3.69E-11	-1.315121
WIPI2	3.70E-11	-1.164455
SMARCA4	3.73E-11	-1.580542
SNX15	3.93E-11	1.461705
HSPA8	3.99E-11	-1.190863
PPIB	4.20E-11	-2.010334
NA	4.26E-11	1.250577
ATP6V0B	4.29E-11	-1.275582
SMR3B	4.42E-11	1.107047
EIF3B	4.44E-11	-1.621049
BTRC	4.49E-11	0.898006
STXBP6	4.59E-11	1.155564
TAF6L	4.63E-11	1.321763
BUB3	4.71E-11	-1.429148
KMO	4.88E-11	0.91713
NA	4.89E-11	1.210304
MST1L	4.94E-11	1.320333
AUP1	4.97E-11	-1.307941
FBLN1	5.06E-11	1.113275
NA	5.12E-11	1.313052
CFAP70	5.28E-11	1.13285
B4GALNT1	5.46E-11	0.923934
YWHAZ	5.49E-11	-2.304387
PPP2R1B	5.51E-11	1.137061
HMGN1	5.58E-11	-1.271524
YWHAE	5.76E-11	-1.366738
EIF4H	5.85E-11	-1.132054
ADAMTS9	5.95E-11	1.007733
RPN2	5.97E-11	-1.483047
NFKB2	5.99E-11	1.046478
NA	6.15E-11	1.209692
DDC	6.32E-11	0.779916
OBSL1	6.43E-11	1.117286
OPCML	6.62E-11	0.993957
EYA1	6.74E-11	1.06972
ANAPC5	6.77E-11	-1.245559
MDH2	6.97E-11	-1.69232
HSP90AB1	7.09E-11	-1.836029
NA	7.31E-11	1.064531
SEC31A	7.32E-11	-1.594791
PSMB3	7.74E-11	-1.644886
BRD2	7.85E-11	-1.519575
NA	8.00E-11	0.852679
ARMC4	8.11E-11	0.850478
ZCCHC4	8.25E-11	0.747488
CYLC2	8.40E-11	1.068147
LSM4	8.63E-11	-1.676336
ADAM22	8.63E-11	1.125725
KHDRBS1	8.80E-11	-1.240909
CDH1	8.80E-11	-1.805499
GTDC1	8.98E-11	1.2202
APBB2	9.01E-11	1.541042
ADAR	9.11E-11	-1.380033
VEGFA	9.22E-11	-2.325209
SLC30A4	9.33E-11	1.075808
NME1-NME2	9.51E-11	-1.48187
ZNF507	9.73E-11	1.238965
NA	9.84E-11	1.004321
PSMD9	1.02E-10	1.054497
KCNK2	1.04E-10	0.868262
RAB7A	1.04E-10	-1.204467
ANAPC5	1.05E-10	-1.275141
FOLH1	1.06E-10	1.071596
TCL6	1.09E-10	0.849308
SCN3B	1.11E-10	1.227059
11-Sep	1.11E-10	0.883652
PTPRF	1.12E-10	-1.475407
UBE2D4	1.14E-10	0.935138
NA	1.16E-10	1.154047
FGF2	1.19E-10	1.070001
LRRC37BP1	1.21E-10	1.347212
PTMA	1.22E-10	-1.423656
RBM12	1.22E-10	-1.603095
TUBB	1.22E-10	-1.51698
ZNF747	1.23E-10	1.460602
STIP1	1.23E-10	-1.400794
CAPZA1	1.24E-10	-1.522624
MEG3	1.27E-10	1.341915
CSE1L	1.28E-10	-1.656835
CRP	1.34E-10	1.054822
HHIPL2	1.34E-10	0.910164
GRM6	1.35E-10	1.194951
ZNF3	1.37E-10	1.135179
FAM134C	1.40E-10	-1.187424
DAZ4	1.41E-10	1.797079
SMARCE1	1.42E-10	-1.382029
PTMA	1.43E-10	-1.530971
SLBP	1.45E-10	-1.977432
HSP90AA1	1.46E-10	-2.025768
TUBB	1.50E-10	-1.225617
UNC5C	1.51E-10	1.114778
KCNJ14	1.51E-10	0.975555
CYP19A1	1.53E-10	1.00721
TUBB	1.54E-10	-1.417561
HSP90AA1	1.54E-10	-1.378305
PKLR	1.63E-10	0.769312
PHOX2B	1.64E-10	0.99046
KLF12	1.66E-10	0.780327
LOC100093631	1.67E-10	-1.658825
CYP4A11	1.69E-10	1.054416
TUG1	1.70E-10	-1.401023
PSMB2	1.71E-10	-1.341265
SP4	1.71E-10	1.26328
HLF	1.73E-10	1.221662
NA	1.76E-10	0.94337
BUB1	1.77E-10	1.219471
MID2	1.77E-10	0.843676
HMGB1	1.80E-10	-1.739104
ARCN1	1.81E-10	-1.337525
ESR1	1.81E-10	1.025007
NA	1.86E-10	1.008401
HAUS5	1.86E-10	0.988191
SRSF1	1.87E-10	-1.530124
ZNF215	1.90E-10	0.685529
DTNA	1.92E-10	0.863275
TUG1	1.94E-10	-1.21261
RHD	1.95E-10	0.978999
HOXA11	1.96E-10	0.835181
NA	1.97E-10	0.91688
GRSF1	2.00E-10	-1.664073
DNAH7	2.01E-10	1.106386
EIF4G3	2.07E-10	-1.338765
NA	2.07E-10	1.099428
POM121C	2.13E-10	-0.936982
OR2W1	2.13E-10	0.909077
VDAC1	2.13E-10	-1.516303
TMEM257	2.14E-10	0.947074
SRCAP	2.15E-10	0.903906
ELOVL1	2.20E-10	-1.222844
PPP4C	2.21E-10	-1.104324
SSX2IP	2.21E-10	1.133139
SH3GL3	2.21E-10	1.061232
CNR1	2.22E-10	1.04128
HRH4	2.23E-10	0.951547
GNRHR	2.24E-10	0.990273
TRAPPC3	2.24E-10	-0.945577
HIST1H3E	2.25E-10	1.05706
WAS	2.29E-10	0.909261
NA	2.31E-10	0.926329
PRCC	2.32E-10	-1.564175
ADAM21P1	2.32E-10	1.039502
POLR2H	2.34E-10	-1.140951
SLC18A1	2.35E-10	1.138788
APAF1	2.37E-10	0.931712
EIF4G1	2.38E-10	-1.451685
POU4F2	2.38E-10	1.15281
NA	2.39E-10	0.850603
ADCY2	2.42E-10	0.885091
STK24	2.43E-10	-1.381596
SCLY	2.45E-10	0.752121
RGS3	2.45E-10	0.991355
PTBP1	2.46E-10	-1.15377
NA	2.48E-10	1.09914
PPP1R3A	2.49E-10	1.1102
SAA4	2.50E-10	0.930169
HNRNPC	2.52E-10	-2.035498
PHLPP2	2.55E-10	1.041397
BTN2A3P	2.56E-10	1.012429
GART	2.57E-10	-1.073509
VAC14	2.64E-10	0.848555
RPS11	2.67E-10	1.503358
PSG6	2.68E-10	1.227869
NA	2.70E-10	0.78912
FUS	2.73E-10	-1.02648
NA	2.74E-10	2.059232
DDOST	2.75E-10	-1.408693
TCP1	2.75E-10	-1.185387
ADAMTS6	2.76E-10	1.016709
NA	2.77E-10	1.078518
DDX3X	2.77E-10	-1.597836
ZDHHC17	2.85E-10	1.15815
NPAS3	2.90E-10	0.980829
SLCO1A2	2.93E-10	0.81396
SHFM1	2.94E-10	-1.089017
HIGD1A	2.96E-10	-1.429594
SHMT2	2.99E-10	-1.099077
SIGLEC6	3.01E-10	1.261602
ELAVL2	3.04E-10	1.181897
KRT2	3.05E-10	0.992229
NA	3.09E-10	1.068903
HIPK3	3.10E-10	1.05027
DIMT1	3.16E-10	0.64073
CNTN5	3.19E-10	0.697895
GK2	3.20E-10	0.955982
ARIH2	3.20E-10	-1.306535
RNF17	3.21E-10	0.986245
HYPK	3.27E-10	-1.41114
KRT7	3.31E-10	-3.457106
FKSG49	3.32E-10	1.803711
NUDC	3.34E-10	-1.077885
ACVR2B-AS1	3.34E-10	1.18089
TUBB4B	3.36E-10	-1.28062
HAND1	3.38E-10	1.019105
HNRNPF	3.39E-10	-1.261629
GDF9	3.45E-10	0.922401
MASP2	3.45E-10	0.986192
RAD51D	3.46E-10	1.641398
TGFBR1	3.47E-10	0.952599
LASP1	3.48E-10	-1.227924
PRAMEF2	3.49E-10	1.055803
NTRK3	3.54E-10	1.189104
SEMA6D	3.55E-10	1.090856
SLC4A4	3.57E-10	1.505665
KCNJ5	3.57E-10	0.873904
NHP2L1	3.60E-10	-1.163376
NA	3.60E-10	0.970257
KLRD1	3.60E-10	1.174771
TPI1	3.61E-10	-1.403288
NA	3.64E-10	1.100078
FRK	3.67E-10	0.620082
DGKG	3.68E-10	0.7505
SLC30A3	3.68E-10	1.062349
GAL	3.68E-10	0.959872
DLX2	3.72E-10	0.758212
TSHB	3.78E-10	1.109751
DCT	3.83E-10	1.095943
ENO1	3.87E-10	-1.442104
ZNF536	4.01E-10	0.937653
NRG1	4.08E-10	1.182148
SH3GL3	4.11E-10	1.040429
RFPL2	4.17E-10	1.106541
ISL1	4.17E-10	1.266905
ZNF816	4.20E-10	1.193384
NA	4.23E-10	1.058654
YY1	4.30E-10	-1.693337
SRSF9	4.35E-10	-1.085941
FGFR2	4.36E-10	0.89852
SMG1P3	4.37E-10	0.814518
LSM7	4.44E-10	-1.580587
LOC441204	4.44E-10	0.800825
KHDRBS1	4.49E-10	-0.99226
CNKSR2	4.51E-10	0.794592
GTPBP3	4.53E-10	1.08949
CNPY2	4.56E-10	-1.355688
SRRT	4.56E-10	-1.210686
RER1	4.58E-10	-1.089574
RAD21L1	4.59E-10	0.638207
NA	4.62E-10	1.027843
SLC4A4	4.74E-10	1.5627
PWP1	4.77E-10	-1.383158
HNRNPR	4.82E-10	-1.358724
CYLC1	4.85E-10	1.042733
LINC00312	4.88E-10	1.109392
YES1	4.89E-10	0.974642
IFNA7	4.93E-10	1.197553
NA	4.93E-10	0.793827
NA	4.97E-10	1.057705
SLC25A21	5.02E-10	0.664598
NDUFS8	5.05E-10	-1.48064
EVI5	5.18E-10	0.706607
SPINK2	5.20E-10	0.959528
LMAN2	5.23E-10	0.854618
ASCL1	5.24E-10	1.099775
APEX1	5.24E-10	-1.196853
UHRF1BP1L	5.26E-10	0.72786
PRO2012	5.34E-10	1.048769
CD160	5.43E-10	1.01836
NA	5.48E-10	1.236487
ETV1	5.50E-10	1.131648
SERBP1	5.50E-10	-1.1864
CD24	5.53E-10	-1.939734
GSPT1	5.53E-10	-1.321627
NA	5.55E-10	1.092835
PGK1	5.56E-10	-1.62356
CD28	5.63E-10	0.849954
MAP1LC3C	5.64E-10	0.916231
IRF3	5.66E-10	-1.260196
ATP5J2	5.67E-10	-1.402739
FOXN2	5.81E-10	0.920452
ABCG4	5.83E-10	1.075971
NA	5.83E-10	0.806882
GYPB	5.87E-10	0.949416
TIAM2	5.87E-10	0.920442
CCT8	5.99E-10	1.080487
PIGR	6.12E-10	0.985448
TGIF1	6.26E-10	-1.383457
PPFIA2	6.31E-10	0.816753
ILF3	6.35E-10	-1.39073
FLJ23519	6.41E-10	0.88771
ATP8B2	6.55E-10	0.74482
TAS2R14	6.61E-10	0.994912
TP53I11	6.61E-10	0.961923
SLC11A1	6.67E-10	1.266012
INHBC	6.69E-10	1.097508
CD44	6.71E-10	0.994858
ADAM3A	6.79E-10	0.59124
TRD	6.82E-10	0.969069
NA	6.84E-10	1.682342
LHCGR	6.86E-10	0.97955
PLCB2	6.86E-10	0.939566
NR1D1	6.88E-10	0.954153
CSE1L	6.95E-10	-1.629014
LARP1	7.01E-10	-1.127577
RASGRF1	7.09E-10	0.903168
TUBB4B	7.10E-10	-1.281392
COL11A2	7.12E-10	0.958216
PUS1	7.16E-10	-1.082204
NA	7.17E-10	1.116893
SLC4A1	7.21E-10	0.939152
DDX27	7.40E-10	-0.89891
ANGPTL7	7.41E-10	1.001409
NA	7.59E-10	1.01869
NTRK2	7.61E-10	0.831542
NA	7.75E-10	0.8897
PTBP1	7.80E-10	-1.121069
ABCC9	7.88E-10	0.874807
EIF2B1	7.94E-10	-0.870935
NA	7.97E-10	1.464275
GNAI3	8.01E-10	-1.544124
CCZ1B	8.12E-10	-1.710817
FCN2	8.15E-10	1.133823
ADCY2	8.22E-10	0.962627
NRD1	8.40E-10	-0.843926
LOC150776	8.43E-10	-1.213877
UMPS	8.51E-10	0.97387
GPR107	8.56E-10	0.734406
NDUFV1	8.58E-10	-1.323557
YBX1	8.63E-10	-1.328201
TNPO1	8.68E-10	-1.468359
PSMB4	8.77E-10	-1.485979
MEF2C	8.87E-10	0.728909
IL22	8.91E-10	0.840122
KCNMB4	9.00E-10	1.047082
LECT2	9.04E-10	1.07821
ATP1A2	9.07E-10	0.962035
HLF	9.08E-10	1.131762
NA	9.22E-10	0.89443
SEC14L5	9.28E-10	0.825495
YWHAB	9.30E-10	-1.875904
HIGD1A	9.31E-10	-1.390992
TEX41	9.38E-10	0.883232
EIF3B	9.39E-10	-1.140318
PLA2G5	9.39E-10	0.984275
NA	9.44E-10	1.635608
OAZ1	9.55E-10	-1.434393
CYP2C19	9.63E-10	0.997665
NA	9.66E-10	1.020728
LSM4	9.76E-10	-1.150863
DEFA6	9.79E-10	0.777736
CTAGE1	9.81E-10	1.157752
RALYL	9.84E-10	0.810723
TMED2	9.92E-10	-1.432797
DENR	9.92E-10	-1.632203
NA	9.95E-10	0.932374
CD24	1.01E-09	-2.901631
SCN4A	1.02E-09	1.039337
RBMY2FP	1.03E-09	0.892133
HSP90AA1	1.04E-09	-0.983176
UCHL3	1.04E-09	-1.727035
HNRNPC	1.04E-09	-0.87418
SLC17A7	1.04E-09	1.021331
HDGF	1.05E-09	-1.026124
ZNF205-AS1	1.05E-09	0.787119
NA	1.06E-09	0.859284
NTRK3	1.06E-09	1.149295
RER1	1.06E-09	-0.853278
CLEC4E	1.06E-09	0.999927
PENK	1.07E-09	0.906087
GNB1	1.07E-09	-1.69856
ATP10B	1.07E-09	0.821654
GNPTAB	1.08E-09	0.981886
HNRNPA3	1.09E-09	-1.373869
EIF3CL	1.10E-09	-1.36042
NA	1.11E-09	0.969213
MCM3AP	1.11E-09	0.791306
NA	1.14E-09	1.037368
CSNK2B	1.15E-09	-0.992445
CEP162	1.16E-09	1.131328
ADAM22	1.16E-09	0.900724
NSFL1C	1.16E-09	-1.175055
DOK5	1.17E-09	1.07902
TRGV5	1.19E-09	0.767452
PPP1CA	1.20E-09	-1.119666
F2RL3	1.21E-09	0.88433
NA	1.22E-09	0.996016
SRSF2	1.24E-09	-1.184277
H2AFZ	1.25E-09	-1.571745
UBE2Q1	1.26E-09	-1.230299
SHMT2	1.26E-09	-1.376213
C7orf69	1.27E-09	1.092838
GABRB1	1.28E-09	0.963919
NA	1.29E-09	0.773519
SMARCA4	1.30E-09	-1.165397
TPMT	1.30E-09	1.451086
U2AF1	1.30E-09	-1.147085
SIK2	1.31E-09	0.77802
TM6SF1	1.31E-09	0.860644
UBA6	1.32E-09	1.255613
TBL2	1.32E-09	0.870019
PHB	1.32E-09	-1.519455
PAPPA2	1.33E-09	1.033118
UBE2D3	1.34E-09	-1.252515
MTMR8	1.34E-09	1.190563
FGFR2	1.36E-09	0.736962
ADAM22	1.37E-09	0.958285
OTUB1	1.37E-09	-1.595489
NA	1.38E-09	1.081584
PSG2	1.38E-09	1.242399
CADM3	1.39E-09	0.989908
TMEM242	1.41E-09	0.90464
PTPRJ	1.42E-09	0.869754
TBC1D19	1.43E-09	0.661543
NR1I2	1.44E-09	0.812306
LOC100507009	1.45E-09	0.896835
B4GALT6	1.47E-09	0.955362
TMCC2	1.47E-09	0.79571
HDAC1	1.48E-09	-1.130334
WNT6	1.48E-09	1.090242
NPIPB5	1.49E-09	1.165937
TRIB1	1.49E-09	-1.896161
PTMA	1.50E-09	-1.046346
PSMD2	1.51E-09	-1.155012
CELSR1	1.52E-09	0.822291
TRPM3	1.53E-09	0.759737
MTAP	1.53E-09	0.966922
HSPA5	1.55E-09	-1.712218
PSMD4	1.55E-09	-1.202207
NA	1.56E-09	0.767998
PTGER3	1.57E-09	1.226296
EIF4A1	1.57E-09	-1.145686
SLC11A2	1.58E-09	0.687769
CYLD	1.58E-09	0.875622
CD40LG	1.58E-09	0.932357
BOLA2B	1.59E-09	-1.466945
CDC42	1.60E-09	0.740773
AMOT	1.61E-09	0.881082
AMBP	1.61E-09	0.921462
UBE2L3	1.62E-09	-1.410854
PABPN1	1.62E-09	-1.058545
SLC17A7	1.63E-09	1.062914
JTB	1.64E-09	-1.321168
ALDOB	1.64E-09	0.840427
YY1AP1	1.64E-09	-1.182799
NRP2	1.65E-09	0.981758
NA	1.65E-09	1.034142
RBBP4	1.66E-09	-1.457901
MYF6	1.66E-09	0.876889
SCAND2P	1.67E-09	0.911867
TBRG4	1.67E-09	0.971995
VDAC3	1.68E-09	1.044701
TRPC6	1.70E-09	0.765202
AFM	1.71E-09	0.75566
NLRP3	1.72E-09	0.893909
SMARCC1	1.73E-09	-1.201431
CADM3	1.73E-09	0.753877
SSBP1	1.73E-09	-1.78446
CSNK1D	1.75E-09	-1.242444
SOX4	1.75E-09	-2.054462
ZPBP	1.75E-09	0.873055
CNR2	1.75E-09	0.818533
CHRNB3	1.76E-09	0.914425
CA1	1.76E-09	0.938658
CLIC5	1.76E-09	0.78298
SRPK2	1.78E-09	-1.524107
FMO6P	1.79E-09	0.971281
KPNB1	1.79E-09	-1.017726
POLR2J4	1.81E-09	0.856209
APC	1.81E-09	0.772367
CASQ2	1.82E-09	1.420831
C9orf16	1.83E-09	0.857548
PCLO	1.84E-09	0.959182
TRPM3	1.86E-09	1.050096
IMMT	1.86E-09	-1.347662
ASIP	1.87E-09	0.795364
CD24	1.88E-09	-1.818178
SMARCA4	1.89E-09	-1.429808
PSMD3	1.90E-09	-1.270691
VN1R1	1.91E-09	0.83334
MYO16	1.92E-09	1.046403
MBD2	1.92E-09	1.060876
NA	1.93E-09	0.768876
STAU1	1.93E-09	-1.535395
FIBP	1.93E-09	-1.013296
SYN2	1.94E-09	0.897756
H2AFY	1.94E-09	-1.07621
ADRM1	1.95E-09	-1.164379
NA	1.95E-09	0.868776
RGS7	1.96E-09	0.89033
CHRNA2	1.98E-09	0.930912
DAZ4	1.98E-09	1.628865
PSMC2	2.00E-09	-1.412591
PSMD8	2.01E-09	-1.476746
SNRPA1	2.02E-09	-0.921636
MMP16	2.02E-09	0.847726
KCNMB2	2.02E-09	0.952356
STK24	2.03E-09	-1.298092
DKFZP434C153	2.04E-09	0.920708
RARB	2.05E-09	0.824216
RIT2	2.05E-09	0.961711
CSNK1A1	2.07E-09	-1.174445
PTGER3	2.10E-09	0.805525
CDC14A	2.10E-09	0.796987
6-Mar	2.10E-09	0.952007
MYL12B	2.12E-09	-1.009027
ANK2	2.13E-09	0.831802
TFAP2A	2.14E-09	0.953144
RAVER2	2.14E-09	0.904687
MYT1L	2.16E-09	0.920049
CHRNA3	2.16E-09	0.787689
TGM4	2.21E-09	0.942812
RBMS2	2.23E-09	0.70267
ART1	2.24E-09	0.879554
CYP2A7	2.24E-09	1.121772
MLLT10	2.25E-09	0.78768
MFSD7	2.25E-09	0.980556
ELK4	2.27E-09	0.82251
CDH20	2.28E-09	0.804717
ATG10	2.32E-09	0.918214
PUF60	2.33E-09	-1.084012
SLC25A16	2.36E-09	1.553571
HNRNPC	2.40E-09	-0.932034
COL4A3	2.41E-09	0.828587
ADRBK1	2.42E-09	1.09455
AHCY	2.43E-09	-1.585345
NA	2.44E-09	1.133972
GABRA5	2.45E-09	1.007503
TARP	2.47E-09	0.960981
TRPA1	2.48E-09	0.947257
MAP2K6	2.48E-09	0.779904
STAU1	2.48E-09	-1.519467
MAP1A	2.49E-09	0.96474
CLDN18	2.49E-09	0.871277
OR6A2	2.53E-09	0.886098
FGF5	2.55E-09	1.169617
NECAP2	2.57E-09	-0.907937
FKSG49	2.58E-09	1.601546
C5AR2	2.59E-09	0.7315
SOX2	2.62E-09	1.119755
NA	2.62E-09	0.809614
DPPA4	2.62E-09	0.829773
PDCD1LG2	2.62E-09	0.633448
CCT4	2.62E-09	-1.19249
PCDHA2	2.63E-09	0.951586
CDC25C	2.64E-09	0.996979
PKLR	2.65E-09	0.942649
SLC39A9	2.65E-09	0.933007
DKC1	2.67E-09	-1.307016
LGALS13	2.73E-09	0.949529
NA	2.75E-09	0.854782
FBL	2.76E-09	-1.273908
HSPB3	2.78E-09	0.74891
SNRPD2	2.79E-09	-1.272485
NA	2.80E-09	1.071138
KCNIP1	2.82E-09	0.838414
NOL7	2.83E-09	-1.159631
IVNS1ABP	2.83E-09	-1.473836
HSPA9	2.85E-09	-1.481828
RGN	2.87E-09	0.778423
NA	2.87E-09	0.720589
DAZAP1	2.88E-09	-1.126437
RHOA	2.88E-09	-1.168451
ALDH1B1	2.89E-09	1.613667
SRSF2	2.91E-09	-1.072009
CAMK2B	2.92E-09	0.792028
GOSR1	2.96E-09	-1.140287
SMG6	2.97E-09	1.027687
UBE3A	3.00E-09	-1.187547
LINC00663	3.03E-09	0.883002
BIN1	3.05E-09	0.83671
NA	3.08E-09	0.935757
ERAP1	3.10E-09	0.924762
CCZ1B	3.14E-09	-1.407554
S100G	3.14E-09	0.894691
HCG4B	3.14E-09	0.913073
NA	3.15E-09	0.996728
YWHAQ	3.16E-09	-1.46986
NA	3.18E-09	1.259535
NA	3.18E-09	1.069483
TPD52L2	3.19E-09	-0.993751
NPY5R	3.19E-09	0.819379
KIR3DL1	3.20E-09	0.904703
CBL	3.21E-09	0.971452
CNPY2	3.23E-09	-1.586429
TPM1	3.23E-09	0.981809
TRIM10	3.25E-09	0.992874
CPEB1	3.26E-09	0.886037
NT5DC2	3.27E-09	-1.865057
PCSK2	3.27E-09	0.768339
TTLL5	3.28E-09	-0.838843
VPS13C	3.29E-09	0.971426
NA	3.31E-09	0.94558
NA	3.33E-09	0.809693
OR2S2	3.33E-09	0.763827
NR6A1	3.34E-09	0.811871
HNRNPDL	3.35E-09	-1.342735
KIAA1467	3.36E-09	0.918166
PGR	3.37E-09	0.84639
SNRPD1	3.43E-09	-1.614261
PAICS	3.48E-09	-1.473275
SLC30A10	3.49E-09	1.082657
PSG3	3.51E-09	0.895284
CXCR1	3.51E-09	0.659791
CBLB	3.52E-09	0.757893
EPHB1	3.54E-09	0.996912
CLDN16	3.57E-09	0.722913
ZBED4	3.58E-09	0.974705
NKX3-1	3.60E-09	1.054404
NOL7	3.61E-09	-1.30552
NCOR1	3.63E-09	0.894654
DCC	3.63E-09	0.92237
ZNF280A	3.65E-09	0.790333
SUMO4	3.67E-09	-0.878692
BCAP29	3.68E-09	0.744766
MBD5	3.68E-09	1.013472
ANKLE2	3.70E-09	0.788404
IMP4	3.71E-09	-1.299691
CDK11A	3.71E-09	-0.905455
PDIA6	3.72E-09	-1.594151
HAO2	3.75E-09	1.060008
LINC00574	3.75E-09	0.953312
TMPRSS15	3.79E-09	0.951178
NEU3	3.79E-09	0.859052
SLC17A2	3.79E-09	0.812839
PSMF1	3.80E-09	-1.296659
BUB3	3.90E-09	-1.200371
G6PC2	3.90E-09	0.920688
IL5RA	3.93E-09	0.912615
NA	3.97E-09	0.890046
PGK1	4.00E-09	-1.856186
SPTA1	4.02E-09	1.028877
CYP2B6	4.03E-09	1.082494
RAB2A	4.04E-09	-1.642154
DPEP3	4.05E-09	0.947901
NA	4.06E-09	0.970305
CANX	4.08E-09	-1.587776
MSRB2	4.09E-09	0.659129
ITGB3	4.10E-09	1.016952
CAMK2A	4.11E-09	1.029262
GPI	4.11E-09	-1.459556
NA	4.12E-09	0.839192
PSMD6	4.13E-09	-1.124438
AMPH	4.14E-09	1.014843
GNAZ	4.15E-09	0.751621
SSUH2	4.17E-09	0.764539
PTH1R	4.17E-09	0.769672
LRRC31	4.17E-09	0.961589
RBM39	4.18E-09	-1.18087
NA	4.18E-09	0.820676
AGPAT4	4.19E-09	0.765216
NA	4.22E-09	0.918412
VCP	4.22E-09	-1.271983
