#Gene	P.Value	logFC
DNAJA1	3.95E-05	0.74385112
RECQL	4.02E-05	1.01026253
EIF2A	4.36E-05	0.9460389
NAE1	4.38E-05	0.85288339
VPS13A	4.50E-05	0.80308394
NDUFB3	4.69E-05	0.46957569
TBCE	4.70E-05	0.41134122
HSD17B4	4.77E-05	0.4527797
VPS13A	5.11E-05	0.83243058
CCDC28A	5.16E-05	0.56404273
HSP90AA1	5.19E-05	0.68757782
PRADC1	5.61E-05	-0.58630066
MAPKAPK2	5.87E-05	-0.54807543
CLPX	6.04E-05	0.50764048
ZNF439	6.17E-05	0.88091452
IFT88	6.28E-05	0.76582013
ATP5J	6.39E-05	0.57845009
ACTR3	6.77E-05	0.4576658
LLPH	6.82E-05	1.08558892
ATP5J	6.85E-05	0.61063762
LUC7L3	6.87E-05	0.87552925
ZNF195	6.87E-05	1.04463122
VDAC3	6.96E-05	0.5398832
PPHLN1	7.46E-05	0.65989982
PDIA3P1	7.88E-05	-0.65627653
TBK1	7.89E-05	0.72318646
ZCCHC9	7.98E-05	0.67704969
DNM1L	8.17E-05	0.66888898
SLU7	8.27E-05	0.67866136
MRPL39	8.49E-05	0.83272308
CSTF3	8.54E-05	0.85547899
MKLN1	8.71E-05	0.44089432
CEP63	8.99E-05	0.60191288
ZNF20	9.06E-05	0.58678757
ACAT1	9.13E-05	0.63635224
DDX1	9.15E-05	0.75773698
CWF19L2	9.20E-05	0.72018765
MRPL22	9.25E-05	0.4801151
UFC1	9.61E-05	0.49685935
CACNB2	9.68E-05	0.47444988
LARP7	1.00E-04	1.14292057
CCT8	1.03E-04	0.66680559
CSTF3	1.06E-04	0.6974338
DYNC1I2	1.06E-04	0.59485088
PSMD1	1.06E-04	0.60296087
PRPF4B	1.08E-04	0.99786516
PDHB	1.08E-04	0.61374119
MRPL35	1.09E-04	0.58231055
ARHGAP27	1.10E-04	-0.59951348
CIDEC	1.11E-04	-1.59637675
TASP1	1.16E-04	0.60097324
SKIV2L2	1.18E-04	0.70489261
TBC1D15	1.19E-04	0.780647
NA	1.19E-04	0.60706194
NA	1.22E-04	0.43269566
TBC1D31	1.26E-04	0.79601573
ACSM3	1.26E-04	0.7048227
NA	1.27E-04	0.49593646
NAE1	1.32E-04	0.8734674
CETN2	1.34E-04	0.63731884
PMEPA1	1.35E-04	-0.71409966
ETFDH	1.37E-04	0.80654367
PPWD1	1.42E-04	0.96873811
R3HCC1L	1.44E-04	0.44637622
CXorf57	1.45E-04	0.36002596
ZNF235	1.47E-04	0.54861676
DPH5	1.47E-04	0.61187677
TTC37	1.50E-04	0.74773358
TMED9	1.52E-04	-0.66825706
ENTPD8	1.53E-04	-0.74916621
WDR75	1.56E-04	0.81535839
ADTRP	1.57E-04	1.10227445
CCDC66	1.64E-04	0.81962639
PSMB7	1.65E-04	0.56592842
TAX1BP1	1.68E-04	0.82712978
AIM1L	1.72E-04	-0.62350997
ECI2	1.73E-04	0.51436617
WDR19	1.74E-04	0.7130892
PPHLN1	1.81E-04	0.65559796
BTF3	1.81E-04	0.55209658
MANBAL	1.85E-04	-0.61800278
BCCIP	1.86E-04	0.71234276
MOCS2	1.88E-04	0.94390231
TBC1D9B	1.94E-04	-0.46339315
THYN1	2.03E-04	0.65004256
PFKFB2	2.03E-04	0.51446486
BIRC2	2.06E-04	0.7371656
RARS	2.06E-04	0.62014937
ZNF7	2.07E-04	0.55193417
SLC9A8	2.09E-04	-0.62684637
RPL36AL	2.10E-04	0.50403416
TMEM69	2.12E-04	0.59246627
RIOK2	2.17E-04	0.93073454
NEO1	2.18E-04	-0.47506088
ATP6V0B	2.18E-04	-0.36474107
CBWD5	2.19E-04	0.87873373
CSRP2BP	2.22E-04	0.46895199
NA	2.24E-04	0.78920813
MECOM	2.24E-04	0.50985284
DEK	2.28E-04	0.5497688
SLC1A5	2.31E-04	-0.80122826
CCDC53	2.35E-04	0.63748741
MRPS22	2.40E-04	0.40516625
NAGS	2.44E-04	-0.3933076
PMVK	2.48E-04	-0.45821852
NA	2.48E-04	0.7071306
STXBP3	2.52E-04	0.91170778
NCK1	2.53E-04	0.46583023
TTC1	2.55E-04	0.81191102
LTV1	2.58E-04	0.80958023
TFIP11	2.64E-04	0.36860386
SLC2A1	2.65E-04	-0.57324507
ZNF721	2.66E-04	0.71089721
BCCIP	2.68E-04	0.65504413
MFAP1	2.69E-04	0.53568779
PPIL3	2.72E-04	0.85325738
ZNF700	2.72E-04	0.9519018
RNF146	2.74E-04	0.51974392
UPF3B	2.77E-04	0.74010271
MNS1	2.80E-04	0.64390425
DRG1	2.80E-04	0.56823973
FAM83B	2.85E-04	0.61963177
ITGB5	2.86E-04	-0.38110951
GTF3C3	2.88E-04	0.53722486
IGBP1P1	2.88E-04	0.77405217
WBP4	2.89E-04	0.64005446
ZNF564	2.90E-04	0.49923346
HERC4	2.95E-04	0.59098285
ADH1C	2.95E-04	0.50154669
WDR78	2.96E-04	0.42421707
VPS35	2.98E-04	0.36965795
CSTF3	2.98E-04	0.54049009
PRPF18	3.01E-04	0.72751931
LIMA1	3.05E-04	0.65642402
CRYZL1	3.05E-04	0.76858757
CWC15	3.06E-04	0.70501893
CYB5R3	3.09E-04	-0.52283241
TNMD	3.12E-04	0.54958687
PPP2R3C	3.15E-04	0.5448323
HSPA9	3.19E-04	0.41617865
DDX5	3.24E-04	0.54168389
DMTF1	3.26E-04	0.85835686
THYN1	3.45E-04	0.61407269
AARS2	3.49E-04	-0.43164828
ASNSD1	3.49E-04	0.69374255
CEP152	3.53E-04	0.70942709
PLRG1	3.59E-04	0.6511353
ACSM3	3.61E-04	0.45716438
IFT88	3.62E-04	0.58558575
FXR1	3.62E-04	0.66232251
PNRC2	3.66E-04	0.56190077
CEP162	3.69E-04	0.56404531
LTA4H	3.72E-04	0.55355126
CTSL	3.77E-04	0.44419142
B3GNT3	3.82E-04	-0.52086981
NDUFS4	3.84E-04	0.43581331
CCDC90B	3.86E-04	0.40147592
SRP14	3.87E-04	0.41843534
ENY2	3.88E-04	0.38654021
MSANTD4	3.94E-04	0.48510662
SLC25A36	4.04E-04	0.72726166
VPS45	4.08E-04	0.62515325
NPAP1	4.10E-04	-0.35872035
TAX1BP1	4.12E-04	0.49637604
FOSL2	4.17E-04	-0.4464358
ADK	4.19E-04	0.39262541
MTO1	4.20E-04	0.51931534
EPHX2	4.22E-04	-0.64244724
DDX47	4.30E-04	0.40215439
ZSCAN16	4.35E-04	0.88517129
CCDC112	4.39E-04	0.86248555
GMNN	4.40E-04	0.68912687
ACE2	4.46E-04	0.80781438
HNMT	4.51E-04	0.72268277
ARPC3	4.52E-04	0.48664383
CSTF3	4.55E-04	0.6174607
BUB3	4.57E-04	0.36341835
UPF2	4.61E-04	0.70758742
PEX5	4.72E-04	-0.32963886
NA	4.74E-04	0.55531971
SS18L2	4.77E-04	0.43054729
LYG1	4.83E-04	0.268309
GTF2B	4.84E-04	0.53715059
BUD31	4.86E-04	0.54546839
PDE9A	4.90E-04	-0.67756667
VDAC1	4.91E-04	0.51916814
TIA1	4.93E-04	0.57477935
IDH1	4.95E-04	0.41943639
LARS	5.03E-04	0.45521101
CCDC146	5.06E-04	0.64302855
NR1H4	5.16E-04	1.70008243
ATP2A3	5.23E-04	-0.56200824
ERCC5	5.23E-04	0.6041192
ZNF224	5.26E-04	0.44188904
CEP95	5.28E-04	0.69663967
ZC3H14	5.29E-04	0.5655543
RPS24	5.42E-04	0.63683081
YDJC	5.48E-04	-0.36779806
ATP5H	5.53E-04	0.46323518
SIGMAR1	5.55E-04	-0.40114616
BCCIP	5.56E-04	0.61630342
NA	5.57E-04	-0.42784217
THYN1	5.57E-04	0.57934495
NA	5.60E-04	0.52491967
RPL22	5.61E-04	0.45951515
ABTB2	5.63E-04	-0.55869908
PTER	5.64E-04	1.60944567
TCN2	5.70E-04	-0.90713864
NSUN3	5.71E-04	0.60835842
CCT6A	5.84E-04	0.52576316
LRP10	5.92E-04	-0.87097582
HSPD1	5.95E-04	0.48383728
HTATIP2	6.05E-04	0.35369721
TATDN1	6.06E-04	0.692554
DYNC2LI1	6.10E-04	0.84799216
DHRS3	6.17E-04	-0.45796636
MGST1	6.20E-04	0.79018334
MRPL22	6.22E-04	0.46300631
LSMEM1	6.23E-04	0.56343962
TMEM129	6.27E-04	-0.42461666
EIF4A2	6.30E-04	0.5680411
FPGT	6.34E-04	0.49870033
TDRD7	6.39E-04	0.33068431
GTF3C2	6.42E-04	-0.40690551
SUGT1	6.43E-04	0.51307559
DBI	6.65E-04	0.47798475
C1orf131	6.65E-04	0.40424358
RNF219	6.72E-04	0.73754266
PTPN4	6.72E-04	0.40404152
SNRPB2	6.74E-04	0.5540624
LYRM2	6.77E-04	0.49107721
HMGB2	6.78E-04	0.70908928
CLNS1A	6.96E-04	0.35178647
RN7SK	7.00E-04	-0.88982172
RPE	7.14E-04	0.65944629
FKBP2	7.16E-04	-0.63156424
AHCTF1	7.16E-04	0.50297329
MED9	7.19E-04	-0.47350972
CNBP	7.25E-04	0.48048264
EXD3	7.27E-04	-0.41578883
ADCK4	7.31E-04	-0.41072222
IGBP1	7.33E-04	0.54109911
PNN	7.38E-04	0.91471951
SLC2A8	7.39E-04	-0.54028196
NA	7.44E-04	0.5224177
PDE3A	7.56E-04	-0.39450158
NA	7.60E-04	0.61957617
SMG5	7.67E-04	-0.69106052
ST7L	7.72E-04	0.43211189
SLC50A1	7.72E-04	-0.53070866
DLD	7.93E-04	0.75924942
OTC	7.99E-04	1.28615715
WBP5	8.04E-04	0.75041446
HOOK1	8.07E-04	0.48428894
ARID4A	8.11E-04	0.39498616
NKTR	8.11E-04	0.66399519
PTRHD1	8.24E-04	-0.35628658
PHKB	8.36E-04	0.44088056
C7orf49	8.46E-04	-0.3473098
NAPB	8.49E-04	0.59213417
RAD51C	8.69E-04	0.69571145
CEP41	8.75E-04	0.40823303
SPDL1	8.76E-04	0.76587178
ZMAT2	8.81E-04	0.49722794
TATDN2	8.81E-04	-0.29316217
DGKD	8.90E-04	-0.44048381
COIL	9.03E-04	0.4731192
ZCCHC7	9.07E-04	0.51661287
RRM1	9.19E-04	0.44078035
HLTF	9.21E-04	0.36408137
ACADM	9.32E-04	0.65253377
NA	9.33E-04	-0.32635554
CNOT2	9.37E-04	0.46035424
LRRN3	9.39E-04	0.45281121
AIM1L	9.42E-04	-0.35961913
ZBTB33	9.46E-04	0.45430032
AHNAK	9.59E-04	-0.75344019
CRIP1	9.66E-04	-1.25819013
MTAP	9.74E-04	0.64749561
SCNN1B	9.82E-04	-1.29075951
MAPRE2	9.85E-04	0.34722259
UBAC2	9.85E-04	-0.39638192
HRSP12	9.90E-04	0.64644636
PCMTD2	9.94E-04	0.54389039
SGSM3	9.94E-04	-0.62025594
BRI3BP	1.01E-03	-0.54828818
CDC40	1.01E-03	0.52815253
HNRNPA2B1	1.01E-03	0.28422613
IER2	1.02E-03	-0.41353623
SYMPK	1.02E-03	-0.59176227
LRRC59	1.02E-03	-0.41369607
PHIP	1.04E-03	0.59974815
TTC14	1.04E-03	0.86766254
NA	1.05E-03	0.80099504
TMIE	1.05E-03	0.32343496
SLC25A11	1.07E-03	-0.47544724
NCOA7	1.07E-03	0.67922565
PTPN22	1.07E-03	0.3767999
LTK	1.07E-03	-0.51203464
LUC7L3	1.08E-03	1.03176373
DAG1	1.09E-03	-0.34929521
GPRC5A	1.09E-03	-0.38617099
FAM133B	1.09E-03	0.51989491
CALML4	1.10E-03	0.38444788
C4orf3	1.10E-03	0.85738223
C11orf54	1.11E-03	0.75469049
TIMM21	1.11E-03	0.4218971
SEC11A	1.11E-03	0.40661545
NSFL1C	1.12E-03	-0.43370682
PTGR1	1.14E-03	1.16068523
NACAP1	1.14E-03	0.61480158
HNRNPH3	1.15E-03	0.5328954
NDUFA12	1.15E-03	0.3387869
PPIL3	1.16E-03	0.46626348
CHCHD7	1.16E-03	0.61610672
PAXBP1	1.17E-03	0.5327742
GNL3	1.17E-03	0.65987242
ZNF227	1.17E-03	0.42894245
PSMD7	1.18E-03	0.46844272
PCBP4	1.19E-03	-0.29772806
NA	1.20E-03	-0.43143061
CYB561D2	1.21E-03	-0.29577926
IFT74	1.21E-03	0.85026525
ZNF823	1.21E-03	0.70231504
HEPH	1.21E-03	-0.52542966
PLA2G12B	1.21E-03	-0.77186072
LIPH	1.22E-03	-0.55238178
CUL2	1.22E-03	0.49107636
CAMKMT	1.24E-03	0.32655383
WAC	1.24E-03	0.31807887
ZDHHC20	1.24E-03	-0.30134409
THAP7	1.25E-03	-0.36808456
PBDC1	1.28E-03	0.51440451
NA	1.29E-03	-0.53304941
PTPN22	1.30E-03	0.64392498
MYO9A	1.33E-03	0.38639673
IL17RC	1.34E-03	-0.51626684
TRNT1	1.35E-03	0.68077898
CDC5L	1.36E-03	0.66900678
TFB1M	1.36E-03	0.4984914
ATP5H	1.37E-03	0.33787763
KIAA1407	1.37E-03	0.52242479
INPP4B	1.37E-03	0.56395814
SLC25A25	1.38E-03	-0.53040901
NA	1.40E-03	0.49663097
TRIP11	1.40E-03	0.39985401
NDUFV3	1.42E-03	-0.44769965
SDAD1	1.45E-03	0.64596976
CEP290	1.45E-03	0.57132447
TSPAN1	1.46E-03	-0.49588305
SLC22A3	1.47E-03	0.46014716
CLTB	1.49E-03	-0.51189912
SARNP	1.50E-03	0.49144666
PSMC6	1.50E-03	0.4393799
SDCBP	1.51E-03	0.57431289
HMBS	1.51E-03	-0.39291779
RAD17	1.51E-03	0.61680357
HES6	1.52E-03	-0.49474134
CDC123	1.55E-03	0.4723431
RPL23AP64	1.55E-03	0.41833265
TTC31	1.56E-03	0.37793381
SLC43A2	1.57E-03	-0.60183176
SNORA32	1.58E-03	0.71300134
FXR1	1.58E-03	0.51453303
TAF1D	1.59E-03	0.47204933
DLST	1.62E-03	-0.65386637
NOL8	1.62E-03	0.69084845
ATXN3	1.62E-03	0.49803712
AGPS	1.64E-03	0.55900989
LRRC6	1.65E-03	0.58179073
TMF1	1.66E-03	0.56565358
ANAPC4	1.66E-03	0.48781233
TXNIP	1.68E-03	-0.45879513
EEF1B2	1.70E-03	0.3725033
DARS	1.70E-03	0.52492166
RBM34	1.71E-03	0.67827765
SPATA2	1.72E-03	-0.32563144
NAT2	1.73E-03	0.61098169
NA	1.73E-03	1.32519458
RPL23AP32	1.73E-03	0.49385886
PSMD4	1.74E-03	0.32984876
THUMPD2	1.75E-03	0.51222368
ARGLU1	1.75E-03	0.56071758
PUS10	1.76E-03	0.44055345
JUN	1.76E-03	-0.51569926
RABEP2	1.76E-03	-0.3621487
OR51E1	1.76E-03	0.51209748
RSRC2	1.77E-03	0.54961859
DHX40	1.77E-03	0.50887295
CRIPT	1.78E-03	0.47792331
PANK2	1.79E-03	0.24906922
PCCA	1.79E-03	0.53834214
TCF20	1.79E-03	-0.37849272
LRBA	1.79E-03	0.36904482
PWP1	1.79E-03	0.4670897
POLR2G	1.81E-03	0.34058114
HLTF	1.81E-03	0.69143578
NDC80	1.82E-03	0.66923204
CLYBL	1.83E-03	0.46731706
LSM12	1.84E-03	-0.52848543
DUSP1	1.84E-03	-0.50257664
CCDC71	1.85E-03	-0.58175951
PAN2	1.85E-03	0.46498515
PRPF19	1.85E-03	-0.51154308
FAM101A	1.86E-03	-0.53472028
PDIK1L	1.86E-03	0.57326306
DNTTIP1	1.87E-03	-0.35353564
OARD1	1.88E-03	0.52409188
LRPAP1	1.88E-03	-0.42525812
PPAP2C	1.89E-03	-0.54420111
FBXW2	1.89E-03	-0.41353937
PPP2R2A	1.89E-03	0.29743287
RARS2	1.90E-03	0.47761784
ARID4A	1.90E-03	0.37166525
SRP54	1.91E-03	0.45340219
AKR1B10	1.91E-03	0.47393872
MGEA5	1.92E-03	0.48249293
NA	1.94E-03	0.53517598
CTBP1	1.95E-03	-0.45199782
NA	1.95E-03	0.65073354
MTIF3	1.95E-03	0.55886014
HYLS1	1.96E-03	0.50180263
CLDND1	1.97E-03	0.62810018
CLDN4	1.97E-03	-0.49790759
BLOC1S6	1.97E-03	0.5791896
TMEM87A	1.98E-03	0.39646801
TMED3	2.00E-03	-0.42604112
LIAS	2.00E-03	0.6441329
HR	2.01E-03	-0.39351821
CCRN4L	2.02E-03	-0.64218808
SLTM	2.03E-03	0.57672846
RMDN2	2.04E-03	0.39417224
TMEM208	2.04E-03	-0.33757552
HOXB7	2.05E-03	0.41659734
PANK2	2.07E-03	0.2686522
FMO4	2.07E-03	0.41395331
EPRS	2.07E-03	0.41915928
POSTN	2.07E-03	0.64941467
CRBN	2.08E-03	0.50050913
NAA38	2.08E-03	-0.56452283
COASY	2.08E-03	-0.53987216
TTC14	2.09E-03	0.93190509
NA	2.09E-03	0.45664354
MRPS18A	2.10E-03	-0.52844916
ZNF30	2.13E-03	0.55799615
RRP12	2.13E-03	-0.39319139
DOHH	2.15E-03	-0.36087258
PBLD	2.15E-03	0.69720507
DPP7	2.16E-03	-0.54328536
ATG12	2.16E-03	0.48760461
ZC3H15	2.16E-03	0.77556762
DUS1L	2.17E-03	-0.36832318
TRMT10C	2.17E-03	0.54910077
UGP2	2.19E-03	0.47490012
TEK	2.19E-03	0.53765934
C8orf4	2.20E-03	0.73831398
ZNF518B	2.20E-03	0.6219206
GNG10	2.21E-03	0.49807255
NELFA	2.22E-03	-0.35328494
BLVRB	2.22E-03	-0.61964891
NET1	2.22E-03	0.37506917
B9D1	2.22E-03	-0.36200586
STOML1	2.24E-03	-0.3300388
DPY30	2.28E-03	0.38101227
CTSL	2.28E-03	0.43515222
HIRIP3	2.30E-03	-0.34483586
MRPL48	2.30E-03	0.50021235
GATB	2.31E-03	-0.29743136
HSD11B2	2.31E-03	-0.3851087
ZNF10	2.31E-03	0.50939736
STMN2	2.32E-03	0.57493444
TOR3A	2.32E-03	-0.4001861
LDHA	2.34E-03	0.42789437
IGFBP6	2.34E-03	-0.34736396
TYW3	2.36E-03	0.64935099
NDST1	2.36E-03	-0.5395502
GTF2H5	2.36E-03	0.43694269
ERC1	2.37E-03	-0.25068699
NA	2.40E-03	0.58119716
ARL14	2.41E-03	0.55816758
UFL1	2.41E-03	0.69518143
ATF3	2.42E-03	-0.71017936
SIGIRR	2.42E-03	-0.33788341
NA	2.43E-03	-0.30549032
FNBP4	2.43E-03	0.43400847
C4orf27	2.43E-03	0.56872938
TMEM120A	2.44E-03	-0.39026828
BIVM	2.46E-03	0.58991521
IRF6	2.48E-03	-0.66371887
GSN	2.48E-03	-1.06247867
C19orf70	2.49E-03	-0.51371877
NA	2.49E-03	-0.78037026
ABCF3	2.49E-03	-0.31960301
ZRANB2	2.50E-03	0.58849736
RPS4X	2.50E-03	0.3938299
WNK2	2.52E-03	-0.52050416
NA	2.55E-03	0.55827226
ZNF277	2.55E-03	0.6905903
C1QTNF8	2.56E-03	-0.33030548
C2orf43	2.56E-03	0.55241984
WDR34	2.56E-03	-0.53833957
PIP4K2C	2.58E-03	-0.31199155
PDE9A	2.60E-03	-0.8914582
APEX1	2.60E-03	0.34396192
FUS	2.61E-03	-0.29494439
AMZ2	2.63E-03	0.40265171
ATG4A	2.63E-03	0.41287152
EHHADH	2.64E-03	0.8835535
NDUFA1	2.64E-03	0.44989472
ARFIP1	2.65E-03	0.58917165
C9orf85	2.66E-03	0.38149345
JMJD1C	2.68E-03	0.60600996
GGNBP2	2.68E-03	0.44350864
NSA2	2.69E-03	0.56812161
TTC19	2.70E-03	0.48089647
EFHC1	2.72E-03	0.7170775
SMG1	2.72E-03	0.63986122
AVIL	2.75E-03	0.2168165
UBE2Z	2.78E-03	-0.30387226
NR2C1	2.79E-03	0.44143675
SPARCL1	2.79E-03	0.81269604
PIGO	2.80E-03	-0.57693339
LANCL2	2.80E-03	-0.3528418
DAB2IP	2.82E-03	-0.43134295
DPM3	2.83E-03	-0.36481455
TMEM123	2.85E-03	0.33221281
ADPRH	2.85E-03	-0.33416338
TRIM11	2.85E-03	-0.42718686
RWDD4	2.86E-03	0.34604637
ZNF514	2.86E-03	0.50013568
DDX18	2.87E-03	0.39694929
SLC35F3	2.90E-03	-0.2797963
RBM38	2.90E-03	-0.60923249
ITPA	2.90E-03	-0.4426613
GLOD4	2.91E-03	0.33156362
SPINT1	2.92E-03	-0.44775681
NEK3	2.94E-03	0.46286188
SMC6	2.94E-03	0.56222565
BRCC3	2.94E-03	0.40307227
MYCBP	2.95E-03	0.43939726
SP2	2.96E-03	-0.39614336
FAM193A	2.96E-03	-0.34686723
CAPN3	2.99E-03	0.44151682
BMP5	3.00E-03	0.567207
FAM24B	3.00E-03	0.42037352
MRPL54	3.00E-03	-0.45893968
BNIP2	3.02E-03	0.53294233
KIAA0100	3.02E-03	-0.36376556
NDUFAF1	3.02E-03	0.39644477
FAM102A	3.04E-03	-0.64699708
HELQ	3.06E-03	0.59241506
CDHR2	3.06E-03	-0.54855067
KIR3DL2	3.07E-03	0.34627579
RNASEH2B	3.09E-03	0.38470494
ZNF225	3.09E-03	0.35302782
PHF23	3.10E-03	-0.43090242
METTL16	3.12E-03	-0.27873487
RCE1	3.14E-03	-0.38251884
KLHDC4	3.14E-03	-0.54175392
PITPNA	3.14E-03	-0.30389675
NAGLU	3.15E-03	-0.42238525
TRIM10	3.15E-03	-0.26258699
GSN	3.17E-03	-0.77174451
C4orf33	3.18E-03	0.6541284
EIF5A	3.19E-03	-0.67631297
NA	3.20E-03	-0.26682014
MGAT4A	3.20E-03	0.47687731
METTL14	3.22E-03	0.29505722
FRG1	3.25E-03	0.52306232
CABLES1	3.25E-03	-0.29795467
ITIH5	3.26E-03	0.26078196
NCAPH2	3.27E-03	-0.41144113
TAF1D	3.27E-03	0.74597812
ADM2	3.28E-03	-0.33081148
VPS29	3.28E-03	0.37139708
KIFAP3	3.29E-03	0.49210887
HECTD1	3.29E-03	0.36361254
CENPJ	3.30E-03	0.67181301
EMC2	3.31E-03	0.55238789
LGALS8	3.33E-03	0.3508935
OSBPL9	3.37E-03	0.41284873
NA	3.38E-03	-0.48273161
EFCAB11	3.39E-03	0.6446992
COPB2	3.39E-03	0.35318613
VRK2	3.42E-03	0.57919041
LUM	3.42E-03	0.54703925
TRIM47	3.42E-03	-0.39773311
NA	3.46E-03	-0.40473513
HIST1H1C	3.47E-03	-0.66455891
ZNF511	3.49E-03	-0.47212797
NA	3.51E-03	-0.28157212
ZNF211	3.51E-03	0.53850694
ZFPL1	3.52E-03	-0.35915522
GJB4	3.54E-03	-0.3201548
CDH5	3.54E-03	0.47554601
NAA50	3.55E-03	0.4433267
NA	3.55E-03	-0.55721356
FAM160B2	3.55E-03	-0.32372719
MRE11A	3.56E-03	0.57462796
INTU	3.57E-03	0.51436341
SLC25A25	3.59E-03	-0.2930151
FIS1	3.59E-03	-0.44962439
RAB5C	3.60E-03	-0.38436784
SPATA18	3.61E-03	0.49198294
RNPS1	3.62E-03	-0.30257313
CASP7	3.62E-03	0.27004458
NA	3.62E-03	0.44082678
RBBP8	3.63E-03	0.5786635
CCZ1	3.64E-03	-0.31565037
CEACAM5	3.64E-03	-0.67114933
KLK15	3.65E-03	-0.56247429
ETFA	3.66E-03	0.41831306
NAT6	3.66E-03	-0.34006177
ADH1A	3.67E-03	0.33694007
PDLIM1	3.68E-03	-0.37785506
DPCD	3.69E-03	0.43961702
LRRC8A	3.70E-03	-0.48094841
SYN2	3.70E-03	0.25754162
SETDB2	3.72E-03	0.50434817
PSENEN	3.72E-03	-0.56195933
ANKRD12	3.72E-03	0.48732114
DDOST	3.73E-03	-0.52017694
SEPSECS	3.74E-03	0.44739534
XIAP	3.75E-03	-0.44876151
C12orf4	3.75E-03	0.67889687
VPS4A	3.76E-03	-0.30848311
UTP14A	3.76E-03	0.38524099
KAT5	3.80E-03	-0.39248247
BAK1	3.82E-03	-0.79402822
RNF5P1	3.82E-03	-0.5209368
ZNF576	3.83E-03	-0.33221319
LSM3	3.84E-03	0.43980176
CSTB	3.84E-03	0.59361722
NXPE4	3.85E-03	0.80546329
EPB41L5	3.86E-03	0.34262828
NA	3.87E-03	0.40507177
ATP2A3	3.88E-03	-0.80381968
ERGIC2	3.89E-03	0.46785013
HMGCR	3.91E-03	0.34147126
NA	3.91E-03	-0.29720718
GOLT1A	3.92E-03	0.62344457
LPCAT2	3.95E-03	0.43704135
ACOT9	3.96E-03	0.3393354
EFNA4	3.96E-03	-0.30996419
NA	3.96E-03	0.68805439
PPIE	3.96E-03	-0.39323606
TRMT11	3.99E-03	0.63264898
GDPD2	4.00E-03	-0.39113588
GPRIN2	4.00E-03	-1.13680353
U2AF2	4.01E-03	-0.43690954
SLC27A3	4.03E-03	-0.49535448
ZNF559	4.05E-03	0.66818471
UBQLN3	4.05E-03	-0.42388307
CTNND1	4.06E-03	-0.5744623
CHRNA5	4.08E-03	0.55747067
CHMP2A	4.09E-03	0.5823047
PDGFA	4.11E-03	-0.82325819
TPR	4.12E-03	0.58505566
GPATCH2	4.12E-03	0.50681626
DPM1	4.14E-03	0.46319486
BRI3BP	4.14E-03	-0.40525286
C6orf203	4.14E-03	0.56521422
LPPR3	4.15E-03	0.23024029
RNF144A	4.15E-03	-0.4978933
VPS13A	4.16E-03	0.32960128
DHX38	4.17E-03	-0.52950549
NT5C3A	4.19E-03	0.43626408
NA	4.19E-03	0.47520058
C6orf1	4.21E-03	-0.37194954
