#Gene	P.Value	logFC
CADM3	0.00029691	4.89E-01
HIF3A	0.00030672	4.03E-01
MTMR9	0.00030732	4.77E-01
RRM1	0.00031517	-7.01E-01
SRP54	0.00031894	-4.49E-01
C1orf105	0.00033621	4.65E-01
FLJ22184	0.00034271	4.65E-01
CASK	0.00035143	-4.60E-01
SUN1	0.00035972	5.77E-01
LINC01314	0.0003661	4.85E-01
ACP1	0.00036723	-4.89E-01
C6orf62	0.00037242	-9.36E-01
PTPN11	0.00038421	-6.95E-01
RUNX1	0.00039771	4.65E-01
PYCARD	0.00039794	-5.27E-01
RNF208	0.00040851	5.07E-01
NODAL	0.00040984	5.08E-01
UBE2D2	0.00041531	-6.72E-01
KCTD13	0.00044043	4.61E-01
PCMT1	0.00044376	-4.71E-01
TMED2	0.00044424	-8.35E-01
ZNF324	0.00045855	4.34E-01
TCF7L2	0.00046332	5.31E-01
LY6G6C	0.00046518	4.91E-01
ARHGEF28	0.00047914	3.68E-01
BCLAF1	0.00048224	-5.00E-01
SCN3B	0.00050387	3.79E-01
DNAI2	0.00051137	4.27E-01
PMPCB	0.00052716	-4.79E-01
CYP2F1	0.00053618	3.99E-01
MUT	0.0005424	-4.27E-01
RPS7	0.00054413	-7.94E-01
CMAHP	0.00056542	7.51E-01
MAEA	0.00059053	-4.61E-01
MXRA8	0.00059543	4.49E-01
NA	0.00061623	4.29E-01
TOP1	0.00061677	-8.34E-01
TSSK2	0.00061832	4.20E-01
PNN	0.00062104	-5.37E-01
KPNA3	0.00062165	-7.13E-01
KIAA1467	0.00063375	3.39E-01
PARVA	0.00063966	4.35E-01
ELK1	0.00064109	4.23E-01
GRINA	0.00064921	7.67E-01
PTPN18	0.0006562	4.48E-01
BPIFA1	0.00065942	4.37E-01
KIAA0368	0.0006605	-5.35E-01
CILP	0.0006738	5.07E-01
POLQ	0.00067468	3.87E-01
CSN2	0.00068174	3.65E-01
CALR	0.00068223	1.18
DENR	0.00069054	-5.52E-01
CYP27B1	0.00073434	4.30E-01
PTPN7	0.00073466	5.39E-01
KLHL22	0.00073706	3.77E-01
HNRNPC	0.00074196	-5.89E-01
SDHC	0.00074951	-4.88E-01
ZBTB44	0.0007697	3.66E-01
ILF3	0.00077474	-4.05E-01
UBE2O	0.00078088	4.55E-01
CSH2	0.00078852	3.93E-01
MPC2	0.00079091	-5.51E-01
POF1B	0.00079784	-6.67E-01
RSL1D1	0.00079917	-5.79E-01
MINK1	0.00079968	5.81E-01
SRP14	0.00080066	-3.67E-01
ATP6V0E1	0.00081219	1.2
MPRIP	0.00081444	4.46E-01
NA	0.00082605	3.03E-01
PPA2	0.00083908	-5.40E-01
RAB1A	0.00084032	-3.47E-01
FOSL2	0.00084983	7.50E-01
SNCAIP	0.00085738	3.63E-01
CAPRIN1	0.00086757	-6.00E-01
ZC3H12A	0.00087259	1.15
GABRA4	0.00087383	3.73E-01
AP2M1	0.00090295	-3.81E-01
CUZD1	0.00090948	5.14E-01
CANX	0.00091221	-9.43E-01
MIP	0.00092083	3.82E-01
PRPH	0.00092166	4.17E-01
PRB3	0.00093323	3.81E-01
PFDN5	0.00093672	-5.37E-01
TRPM3	0.00093863	4.41E-01
NA	0.00097762	-5.53E-01
SPANXA2	0.00097804	4.99E-01
HPX	0.00098199	4.55E-01
USP2	0.00098667	4.73E-01
PCGF2	0.00099461	4.27E-01
SLC2A2	0.00099861	3.34E-01
TACC1	0.00100908	3.91E-01
TECTA	0.00101608	4.01E-01
NTSR2	0.00101771	3.70E-01
NA	0.00102064	-4.69E-01
DMWD	0.0010258	4.08E-01
TOMM20	0.00102697	-5.59E-01
COX7C	0.00102746	-4.03E-01
MIER2	0.00104171	3.51E-01
SLC14A2	0.00104407	3.24E-01
MAFG	0.00105353	4.07E-01
TBC1D10B	0.00107283	5.23E-01
DTX2	0.00109449	6.96E-01
NOL7	0.00111212	-4.75E-01
SDC3	0.00111222	3.66E-01
EPPK1	0.00111487	4.18E-01
PDCD5	0.00113835	-5.82E-01
KLF5	0.00114107	-6.77E-01
HGH1	0.00114798	4.13E-01
NA	0.00115765	3.85E-01
NA	0.00115862	4.23E-01
STXBP6	0.00118554	4.29E-01
TP53I11	0.00119098	3.69E-01
NA	0.00119725	4.18E-01
NA	0.00120752	-4.48E-01
DCBLD2	0.00121326	3.85E-01
DOCK5	0.00121732	5.08E-01
NES	0.00122002	4.47E-01
SMARCE1	0.00123461	-4.40E-01
NA	0.00123727	4.00E-01
ASCL1	0.0012401	4.27E-01
SMR3A	0.00125444	3.47E-01
ZFP36L1	0.00125685	1.09
NA	0.00126025	4.09E-01
CC2D1A	0.00126317	3.71E-01
RYK	0.00126353	-4.95E-01
CNBP	0.00126943	-4.60E-01
SEC31B	0.0012729	-3.92E-01
RPL24	0.00128309	-5.75E-01
NA	0.00128949	4.75E-01
BCL3	0.00129799	6.85E-01
PDE4A	0.00130227	3.20E-01
CLCN3	0.0013153	-6.08E-01
NA	0.0013157	3.86E-01
SLC10A1	0.00131768	3.65E-01
MAPK7	0.00132049	4.06E-01
UQCRC2	0.00132319	-3.92E-01
VGLL1	0.00132558	4.81E-01
PCNP	0.00132594	-3.69E-01
CASKIN2	0.00134183	4.37E-01
FGF5	0.00134633	4.78E-01
EIF3F	0.00134998	-5.32E-01
CMAHP	0.00135542	6.99E-01
CLEC1A	0.00135865	3.79E-01
ARID1A	0.00136677	4.09E-01
OMG	0.00138119	3.05E-01
PGLYRP4	0.00138384	3.81E-01
NDUFA7	0.00138748	-6.48E-01
SEC11A	0.00139394	-4.87E-01
SPTAN1	0.00139838	3.54E-01
RPL13	0.00140896	-4.87E-01
SEL1L3	0.00141251	-3.47E-01
MRPS16	0.00141848	-5.44E-01
SSR1	0.00142163	-6.89E-01
LOC652346	0.00142333	4.03E-01
COX5B	0.00142552	-4.03E-01
EIF4E2	0.00143628	3.78E-01
PDE1C	0.00145012	3.01E-01
TMC5	0.00146732	6.43E-01
PSG9	0.00148428	3.97E-01
NEUROD4	0.00149732	3.79E-01
TMED7	0.00149941	-6.22E-01
DDX18	0.00150095	-5.23E-01
STAC	0.001501	4.25E-01
LUZP2	0.00150275	3.17E-01
ATRNL1	0.00150792	5.02E-01
C21orf59	0.00151695	-5.55E-01
COG2	0.00151711	-3.48E-01
CD1B	0.0015261	3.89E-01
NPFF	0.00153206	4.39E-01
STRN4	0.00154913	6.43E-01
RPS3A	0.00155104	-5.47E-01
DDOST	0.00155253	-5.66E-01
ELF5	0.00155263	3.30E-01
SSR1	0.00155428	-6.17E-01
ENO1	0.00158079	-5.91E-01
IPO7	0.00158421	-4.39E-01
FLNB	0.0016024	-5.71E-01
KRT6A	0.00160887	3.61E-01
SELT	0.00160887	-3.61E-01
PPP1R12A	0.00160999	-5.77E-01
TRIM48	0.00161033	4.03E-01
ZNF236	0.00161627	3.45E-01
NPC1L1	0.00161833	4.78E-01
SIK3	0.00162217	-4.39E-01
RPL37A	0.00162438	7.75E-01
DDX27	0.00163189	-3.71E-01
AURKC	0.00163475	4.37E-01
LOC100287515	0.00163901	3.42E-01
CASP10	0.00164464	3.30E-01
TDO2	0.0016528	4.29E-01
IFT52	0.00165558	5.23E-01
TOMM20	0.00168036	-4.91E-01
DOK5	0.00168098	3.99E-01
ZNHIT1	0.00168103	-4.33E-01
NDUFA8	0.00170033	-4.42E-01
GTF3C3	0.00170673	-3.97E-01
HNRNPF	0.00170737	-4.43E-01
TBC1D13	0.00171164	3.13E-01
CYP26B1	0.0017192	9.43E-01
C4BPA	0.00172168	4.32E-01
RARA	0.00175238	3.47E-01
COQ7	0.00176159	-3.03E-01
GUCY1A3	0.00176192	4.91E-01
CALR	0.00176392	9.95E-01
RAB11B	0.00177055	9.63E-01
PCNXL2	0.00177427	3.66E-01
MFN2	0.00177765	-7.80E-01
IGSF1	0.00177788	2.74E-01
GPSM3	0.0017841	3.57E-01
TAC3	0.00178855	4.43E-01
SLC16A2	0.00179658	3.47E-01
DHX9	0.00180085	-7.66E-01
OPCML	0.00180715	3.33E-01
CDSN	0.00181586	3.64E-01
SDHC	0.00181815	-5.00E-01
IMMT	0.00183076	-5.11E-01
NSA2	0.00183153	-4.57E-01
CASQ2	0.00183432	3.69E-01
POLR2B	0.001838	-2.76E-01
SEMA3C	0.00183946	-5.97E-01
SFTPC	0.00184174	3.02E-01
CACYBP	0.00187442	-4.95E-01
TRIM3	0.001897	4.79E-01
UQCRC2	0.00190498	-5.02E-01
GDF3	0.00191019	3.18E-01
TSN	0.00191041	-4.63E-01
ACP1	0.00191245	-4.09E-01
GALT	0.00191443	-3.11E-01
HSP90B1	0.00193978	-9.83E-01
REEP5	0.00194503	-4.07E-01
ARPC4	0.00196689	-5.62E-01
LRRC15	0.00197358	3.62E-01
CUL5	0.00197828	-4.23E-01
CAND1	0.00200754	-5.37E-01
EIF3A	0.00201221	-4.97E-01
CACNB1	0.00202954	3.97E-01
SMG6	0.00203015	4.13E-01
MID2	0.00203868	3.50E-01
NDUFB4	0.00205764	-3.38E-01
RPL13	0.00206158	-6.20E-01
HPSE2	0.00206388	4.30E-01
HNRNPL	0.00207179	4.35E-01
IK	0.00207333	-3.79E-01
GCNT4	0.00207597	3.22E-01
BRD4	0.00208061	3.68E-01
DNM1L	0.00208789	-4.43E-01
ABCC8	0.00209381	3.20E-01
SMAD5-AS1	0.00209627	3.31E-01
RARB	0.00209844	4.03E-01
ASNS	0.0021115	-5.71E-01
AKAP13	0.00212396	2.96E-01
SNAP23	0.00212728	-8.33E-01
PRB4	0.00213692	4.16E-01
CLEC10A	0.00213758	3.29E-01
HIP1	0.00214533	3.81E-01
PHLDA1	0.0021456	6.23E-01
NA	0.00217259	3.58E-01
ATP8B1	0.00218136	-6.59E-01
PRB1	0.00218317	4.68E-01
ZNF287	0.00218392	3.84E-01
AGRN	0.00219372	3.51E-01
PCM1	0.00222209	-3.30E-01
TCF3	0.00223408	3.17E-01
ZNF467	0.00223609	3.30E-01
MYCNOS	0.00224506	2.75E-01
NTRK3	0.00224806	3.37E-01
EIF4B	0.00225109	-4.28E-01
ADAM19	0.00225324	3.87E-01
QARS	0.00225324	-3.87E-01
TMEM135	0.00226855	-4.22E-01
ADAM5	0.0022711	3.15E-01
NCBP2	0.00228293	-5.43E-01
SRRT	0.00229102	-4.61E-01
SBNO2	0.00230036	6.20E-01
FUT2	0.00231614	-3.45E-01
SYPL1	0.00232544	-5.30E-01
NA	0.00235386	4.11E-01
AFF1	0.00235615	3.28E-01
NA	0.00235665	3.13E-01
AQP9	0.00238024	4.00E-01
DIO2	0.0023885	2.81E-01
SIN3B	0.00240517	3.83E-01
ALDH6A1	0.00241241	-3.65E-01
NOL7	0.00241487	-4.27E-01
PPDPF	0.00242381	8.63E-01
CDK11A	0.0024243	-4.29E-01
LOXL3	0.00243514	3.62E-01
TP63	0.00244008	2.77E-01
SEC62	0.00244092	-4.94E-01
EFCAB14	0.002443	-3.14E-01
WT1	0.00245801	4.36E-01
CACNG4	0.00246827	2.69E-01
SIGLEC15	0.00247149	3.89E-01
TUBB4A	0.00247304	4.83E-01
KDM6B	0.00247335	6.18E-01
ARID1A	0.00247953	6.65E-01
KCNJ3	0.00248941	3.71E-01
HNRNPU	0.00249242	-5.55E-01
CCT2	0.00249262	-8.03E-01
TMEM223	0.0024971	3.25E-01
PPEF1	0.00252948	3.45E-01
NA	0.00257791	3.85E-01
SERF2	0.00261152	-4.65E-01
ATP6AP2	0.00261573	-4.31E-01
RAB11B	0.00261583	3.57E-01
ARHGDIA	0.00262572	1.21
MACF1	0.00263016	-4.10E-01
EFNA5	0.00263547	3.47E-01
MUC3A	0.00263797	4.23E-01
PDCL3P4	0.0026389	-4.41E-01
PTPRO	0.00263999	6.04E-01
C16orf72	0.00264428	3.44E-01
TRAF3IP3	0.00266557	4.45E-01
RAB1A	0.00268528	-6.17E-01
NA	0.00269445	3.71E-01
DLD	0.00269549	-4.21E-01
PRKD2	0.00270184	3.22E-01
LTA4H	0.00270445	-5.75E-01
FH	0.00270721	-3.93E-01
PIWIL2	0.00271137	3.37E-01
AFF2	0.00271196	3.14E-01
NR2F2	0.00271297	2.83E-01
MFNG	0.00272633	2.66E-01
STAB2	0.00273345	5.57E-01
MAGOH	0.00273562	-5.08E-01
EFNB3	0.00277277	3.45E-01
MTIF2	0.0027916	-5.11E-01
APLNR	0.00279427	2.97E-01
NA	0.00279976	2.67E-01
RBBP4	0.00281039	-4.23E-01
UTP14A	0.00281729	-4.69E-01
DLGAP1	0.00281731	3.34E-01
NA	0.00281796	3.15E-01
PDIA6	0.00282563	-6.97E-01
PGRMC2	0.00282697	-4.87E-01
TUBD1	0.00282965	3.86E-01
HNRNPH1	0.00284324	-3.75E-01
TP63	0.00287346	2.97E-01
TGFB2	0.00288863	3.17E-01
NA	0.0029007	3.24E-01
CTCF	0.00291801	-4.03E-01
EI24	0.00293007	-4.28E-01
HEMK1	0.00293298	3.91E-01
KAZN	0.0029395	2.65E-01
L1CAM	0.00294768	4.52E-01
SORBS2	0.00296061	2.86E-01
NA	0.00297265	4.27E-01
PIK3C2G	0.00299087	4.07E-01
IFNA13	0.00300669	2.64E-01
NACA	0.00301289	-3.71E-01
SEC22B	0.00302019	-5.49E-01
QRICH1	0.00302688	-3.61E-01
COG8	0.00303366	-4.21E-01
SDHB	0.00303635	-5.63E-01
ZBED5	0.00303872	-3.74E-01
FKBP8	0.00304502	4.17E-01
NACA	0.00304692	-3.82E-01
TOMM70A	0.00305355	-4.13E-01
LAMTOR2	0.00305857	-5.95E-01
ARF1	0.00305873	-4.51E-01
ARHGEF9	0.00306465	-5.00E-01
PLOD1	0.00306769	-3.47E-01
SERBP1	0.0030911	-4.14E-01
CCNG2	0.00309385	-7.19E-01
CISH	0.00310829	3.40E-01
HNRNPUL2	0.00311416	-5.71E-01
RALB	0.00311445	-3.65E-01
ATPAF2	0.00311748	-3.35E-01
LSM4	0.00311854	-4.67E-01
ARHGDIA	0.00313325	9.97E-01
ATP5A1	0.00313553	-2.74E-01
CD34	0.00316559	3.90E-01
GP5	0.00316601	3.53E-01
PAPOLA	0.00321771	-7.82E-01
C5orf15	0.0032229	-4.99E-01
TEX28	0.00322859	3.51E-01
SSX1	0.00324552	2.64E-01
RPL22	0.0032573	-3.47E-01
EXOSC10	0.00325909	-4.17E-01
EIF4H	0.00328877	-3.47E-01
RNF125	0.00330927	3.73E-01
DEK	0.00331189	-3.51E-01
CDRT1	0.0033145	3.70E-01
HIST1H2BN	0.00332648	2.73E-01
LSM14A	0.00332916	-4.21E-01
ADAM12	0.00336615	2.77E-01
GRIN1	0.00336834	3.96E-01
KHSRP	0.00339357	3.52E-01
MINK1	0.0034054	4.02E-01
YBX1P2	0.00340832	-4.23E-01
CFDP1	0.00341364	2.74E-01
TOMM70A	0.00341482	-4.46E-01
CACNA1D	0.00341547	4.15E-01
DYNC1H1	0.00342478	-3.84E-01
BMP15	0.0034249	3.86E-01
FHL1	0.00342609	-5.47E-01
ELP4	0.00342671	2.89E-01
CALM3	0.00343654	6.75E-01
ALDH5A1	0.0034403	-4.59E-01
HGH1	0.00344906	3.25E-01
RINT1	0.00345948	-2.77E-01
TMEM176A	0.00347004	4.64E-01
LOC650293	0.00347784	3.32E-01
PHB	0.0034781	-6.40E-01
ZNF460	0.00348537	3.54E-01
CCNG2	0.0034882	-7.29E-01
USB1	0.00349597	3.92E-01
SNX3	0.0034993	-4.29E-01
ARHGEF38	0.00350711	2.87E-01
PXDN	0.00351887	4.69E-01
PVRIG	0.00355217	4.15E-01
IGHV3-23	0.00357101	-6.77E-01
MDH1	0.00357222	-4.03E-01
AIMP1	0.0035745	-3.62E-01
CTTN	0.00359794	4.60E-01
GUSBP11	0.00359889	-5.91E-01
MAP2K3	0.00363631	-4.31E-01
SUMO2	0.00364798	-4.45E-01
SLC4A2	0.00367675	3.36E-01
HNRNPH3	0.00368376	-4.03E-01
ABCD1	0.00370073	4.28E-01
GNAS	0.0037016	-4.39E-01
CHST12	0.00371121	3.15E-01
HNRNPL	0.00371185	4.83E-01
FH	0.00372264	-4.09E-01
NR1D1	0.00373259	4.13E-01
UBL5	0.00374594	-4.96E-01
CD1C	0.00374597	3.19E-01
TCEA1	0.00375051	-3.81E-01
XKR8	0.0037638	2.85E-01
PKNOX2	0.00376881	3.66E-01
CA5B	0.00377662	2.87E-01
SF3B1	0.00379129	-3.55E-01
ZC3H7B	0.00379318	2.99E-01
SERBP1	0.003796	-4.96E-01
ZFHX3	0.00381289	3.91E-01
DAZ4	0.00381324	3.75E-01
RAB6B	0.00381492	3.66E-01
ROCK1	0.00382104	-4.04E-01
NCR1	0.00382559	3.78E-01
C1orf61	0.00384044	3.83E-01
BTRC	0.00384741	3.19E-01
KRT34	0.00384952	3.55E-01
NA	0.00387502	1.07
C7orf69	0.00387856	3.97E-01
SLC35E2	0.00393175	3.97E-01
PRDX3	0.00394571	-4.11E-01
NA	0.00395753	3.44E-01
GH2	0.00397958	3.43E-01
ADAMTS2	0.0039865	2.69E-01
TCF25	0.00398723	-2.51E-01
RAB32	0.00399476	-3.99E-01
PPIB	0.00399868	-9.22E-01
NA	0.00400121	2.65E-01
HDLBP	0.00400849	3.63E-01
GSTO1	0.00401032	-4.37E-01
ZNF442	0.00403266	2.47E-01
IL2RA	0.0040414	3.71E-01
H2AFV	0.00404286	-4.61E-01
MATR3	0.0040503	-3.41E-01
FBLN1	0.00406163	3.68E-01
ALDH1L1	0.00408224	4.67E-01
SRSF7	0.00409484	-5.40E-01
CD1E	0.00410487	2.73E-01
CT55	0.00410929	3.08E-01
SART1	0.0041122	-3.61E-01
DUT	0.00412577	-6.66E-01
PRG2	0.00412705	2.42E-01
ZDHHC24	0.00414509	3.03E-01
SYPL1	0.00414551	-2.86E-01
TPD52L1	0.0041576	3.97E-01
RPL17	0.0041843	-7.06E-01
NA	0.00419899	3.24E-01
PDAP1	0.0042263	-4.05E-01
EMR1	0.00422991	3.71E-01
CAPRIN1	0.00423942	-7.85E-01
MRPS28	0.00425069	-5.39E-01
CEP350	0.00425133	4.11E-01
KMT2D	0.00425989	3.31E-01
ADCY9	0.00427309	4.45E-01
RAMP3	0.00429593	3.97E-01
FGF1	0.00430363	3.49E-01
SLCO1B3	0.00431474	2.56E-01
DRP2	0.00431833	3.37E-01
BMI1	0.00434176	-4.36E-01
PITX1	0.00434501	2.47E-01
TBCA	0.00435808	-3.75E-01
PRKACA	0.00438677	4.28E-01
AQP3	0.00439631	3.45E-01
IGHA2	0.00440085	-1.92
NA	0.00440721	2.70E-01
CCR5	0.00442617	4.71E-01
SIPA1	0.00443607	3.03E-01
NTRK3	0.00445038	2.90E-01
SNRPD3	0.00447501	-3.67E-01
SYNCRIP	0.00447649	-4.40E-01
IDH3B	0.00448496	-4.31E-01
PPP1R3C	0.00448844	2.62E-01
NA	0.0044926	3.66E-01
CIRBP	0.00449971	-4.15E-01
TMCO6	0.00450712	3.03E-01
RBMX	0.00454187	-4.79E-01
STARD8	0.00455404	3.19E-01
HSPA9	0.00455956	-5.59E-01
NA	0.00456801	4.67E-01
NUDT9	0.00457811	-4.23E-01
CACNB1	0.00461373	3.31E-01
GNPTAB	0.00461712	3.75E-01
NAA15	0.00464235	-4.55E-01
GTF2A2	0.0046436	-3.09E-01
SOX10	0.00465176	3.29E-01
GP1BB	0.00465346	-5.54E-01
TPD52	0.00465749	-5.06E-01
TMEM9B	0.00466299	-3.30E-01
SNX7	0.00467872	-3.51E-01
IQCE	0.00469441	3.38E-01
SNW1	0.00471171	3.53E-01
SEC31A	0.00471178	-3.77E-01
NPFF	0.0047135	3.75E-01
ZNF443	0.00472628	2.54E-01
NA	0.00473861	2.63E-01
SRSF1	0.0047404	-5.26E-01
ADCY2	0.00474195	3.05E-01
NA	0.00477331	2.97E-01
SSBP3	0.00477948	5.98E-01
MAPKAPK3	0.00478218	-3.14E-01
CLCN3	0.00480818	-4.53E-01
SLC12A5	0.00481469	3.92E-01
PABPC3	0.00482646	-3.83E-01
CLPX	0.0048282	-3.51E-01
SMARCA5	0.004836	-3.65E-01
SYNJ2	0.00485378	2.84E-01
CXCL12	0.00488229	2.81E-01
IRGQ	0.00488298	2.84E-01
KIAA0226	0.00488343	2.93E-01
ZNF160	0.00488742	-3.85E-01
SMARCA1	0.00489416	2.89E-01
MYO7B	0.00490561	2.83E-01
NA	0.00490695	3.02E-01
NDUFA9	0.00491586	-4.41E-01
HSD17B3	0.00495013	3.59E-01
RPL23	0.00495514	-6.04E-01
PAX9	0.00497776	3.65E-01
UBE2D4	0.00497963	3.47E-01
UBXN4	0.00498231	-4.88E-01
ITSN2	0.00498916	4.08E-01
SORBS3	0.00499644	6.49E-01
PLA2G4C	0.00499873	4.54E-01
DERL1	0.005006	-3.19E-01
MVB12B	0.00500827	4.35E-01
RPL4	0.00502873	-6.84E-01
APEX2	0.0050537	3.60E-01
GALNT1	0.00506397	-5.01E-01
FGD1	0.00506517	3.18E-01
ZNF695	0.00508168	3.27E-01
NPM1	0.00509431	-5.61E-01
PI15	0.00509662	3.11E-01
ARHGAP29	0.00510069	2.62E-01
SRPK3	0.00511901	2.95E-01
SSX7	0.00513	2.59E-01
MAU2	0.00513036	3.35E-01
TAPBPL	0.00518246	-7.31E-01
SAPCD1	0.00519046	3.48E-01
TACC2	0.00519378	-4.52E-01
NA	0.00519931	2.65E-01
WBP2	0.00520922	6.90E-01
SPOCK1	0.00523249	4.10E-01
COPS6	0.00523717	-3.74E-01
MPDZ	0.00524009	3.21E-01
SRSF1	0.00524903	2.45E-01
ALDH6A1	0.00530332	-5.29E-01
ZNF37BP	0.00530374	2.65E-01
SPCS2P4	0.00532494	-3.93E-01
SUMO3	0.00534624	-3.54E-01
EIF4B	0.00536009	-4.86E-01
SRC	0.00536362	3.97E-01
MAP1A	0.00536627	4.00E-01
FRG1	0.00536822	-2.76E-01
DHX15	0.00538099	-5.14E-01
ZNF552	0.0053877	3.03E-01
NUDT21	0.00539345	-3.55E-01
PAPOLA	0.00543949	-1.04
DDX6	0.00549477	3.03E-01
SOX13	0.00549781	4.54E-01
LILRA2	0.00550272	4.05E-01
SIK3	0.00550535	-3.25E-01
CA5B	0.00551337	3.84E-01
ADCY2	0.00551493	2.77E-01
SEL1L3	0.00552068	-4.04E-01
LMAN1L	0.00553452	2.37E-01
NOS1	0.0055588	4.22E-01
LINC01140	0.00557458	2.72E-01
HNRNPR	0.00557577	-4.59E-01
OR12D2	0.0055848	2.73E-01
ZNF8	0.00558887	2.69E-01
NA	0.0055906	3.10E-01
ZNF528	0.00559355	2.92E-01
GSS	0.00560567	-3.43E-01
RPL18	0.00561109	3.56E-01
GRB7	0.00561781	3.97E-01
ELAVL1	0.00564366	-3.70E-01
PSMA1	0.00564618	-4.37E-01
TAOK2	0.00566759	4.97E-01
SIRT3	0.00567054	3.20E-01
UBE2L3	0.00568393	-3.91E-01
SYDE1	0.00569146	2.87E-01
IFT88	0.00569146	2.87E-01
SPATA31A5	0.00569738	4.24E-01
IGHG1	0.0057061	3.35E-01
ZNF117	0.00571334	3.13E-01
SLC11A2	0.00572	-7.61E-01
RPL10A	0.00572692	-5.81E-01
PFDN5	0.00573484	-4.28E-01
RAB11FIP3	0.00573611	3.04E-01
TOP3B	0.00574151	2.64E-01
RGL1	0.00575992	2.79E-01
DMPK	0.00577031	2.94E-01
VIPR2	0.00577896	2.89E-01
PCDHGA1	0.0058036	4.30E-01
NME4	0.00580695	5.97E-01
MAP3K7	0.00581317	3.13E-01
CYP2U1	0.00581847	3.11E-01
AGTR1	0.00582285	2.53E-01
EFCAB1	0.00583048	2.97E-01
EZR	0.00583147	-4.18E-01
SLC17A3	0.00584502	3.36E-01
CDH8	0.00584696	3.12E-01
PPP1R10	0.00586159	5.13E-01
P2RY6	0.00586853	3.89E-01
PTPRU	0.00591	2.85E-01
NENF	0.00591243	3.17E-01
PFKFB1	0.00593174	3.94E-01
MMP16	0.00593408	4.07E-01
UROD	0.00594717	-4.33E-01
NEUROD6	0.00597537	3.15E-01
CBX3	0.0059932	-4.58E-01
ETS1	0.00600224	3.26E-01
BMP5	0.00600935	2.44E-01
SGSM3	0.00601697	-3.93E-01
FXR1	0.0060502	-2.81E-01
PSMC3	0.00606038	-5.51E-01
NEUROG3	0.00606789	-2.48E-01
PRKAA1	0.00607649	2.63E-01
GPR4	0.0060781	3.33E-01
LOC100287927	0.0060822	2.39E-01
7-Sep	0.0060878	-3.44E-01
DRAP1	0.00610109	-3.94E-01
ZNF335	0.00610359	2.85E-01
RPF1	0.00612417	-3.61E-01
SNAI1	0.00613091	2.83E-01
EIF3H	0.00613771	-3.08E-01
LRPPRC	0.00614708	-5.56E-01
KCNF1	0.00616064	4.20E-01
CDC25C	0.00616183	3.52E-01
NDUFV2	0.00616283	-3.39E-01
LRRC61	0.00618721	3.93E-01
IFNAR2	0.00620221	3.96E-01
KCNC3	0.00622069	3.27E-01
HPS1	0.00624246	5.37E-01
NRG1	0.00626467	3.82E-01
SPTBN1	0.00627071	3.27E-01
GRM2	0.00628406	3.07E-01
FOXF1	0.00628965	4.59E-01
CCNB1IP1	0.0062906	-5.45E-01
INSR	0.00629109	3.48E-01
TFDP3	0.00629369	3.70E-01
TNFRSF25	0.00629665	3.13E-01
ITGB3	0.00630681	2.95E-01
NA	0.00632583	2.20E-01
ART1	0.00632783	3.26E-01
IGK	0.00633055	-9.31E-01
CLDN10	0.0063373	3.24E-01
NDUFB5	0.0063399	-3.75E-01
NA	0.00636981	3.49E-01
DOCK9	0.0063711	3.50E-01
AREG	0.00638209	1.38
GOLGA4	0.00638661	-6.55E-01
GLI3	0.00639348	2.55E-01
PSMB1	0.00639621	3.06E-01
