#Gene	P.Value	logFC
NUP160	1.75E-20	-1.2042231
PSMA5	1.83E-20	1.6533001
GABARAPL1	1.85E-20	1.7896207
PPME1	1.88E-20	0.790397
NA	1.95E-20	-2.3271622
OPA1	1.99E-20	1.2068485
MNT	2.06E-20	0.8506992
NAPG	2.08E-20	1.2919399
R3HDM1	2.09E-20	1.3680757
PALLD	2.15E-20	-1.8576438
BTG1	2.30E-20	-1.2957792
NLK	2.39E-20	1.4965185
HLA-E	2.45E-20	-1.4541153
NCAPG	2.75E-20	-4.1812052
ENSA	2.76E-20	1.0678922
CMAS	2.83E-20	1.2170658
CCDC80	2.92E-20	-3.1015339
ATL1	2.97E-20	2.0785977
FAM73A	3.23E-20	1.3953647
ERC2	3.27E-20	3.0169575
YPEL2	3.52E-20	1.7635203
NOTCH2	3.53E-20	-1.0584718
MAST3	3.81E-20	2.4941334
SH3GLB2	4.19E-20	1.1470466
ADAM11	4.50E-20	2.177775
FAM126B	4.63E-20	1.5281493
PRDM2	4.64E-20	1.5260417
PRPF40A	4.96E-20	-0.8577653
STOML1	5.51E-20	1.0815023
CASP6	5.65E-20	-1.9746976
OXCT1	5.71E-20	1.1335224
EPS15	5.73E-20	1.3800795
SMAD5	5.75E-20	-1.0169025
TBRG1	5.90E-20	1.1027908
PTBP1	6.23E-20	-1.8759697
ARPP19	6.32E-20	1.6633005
PRKCG	6.67E-20	1.9293084
TCF3	6.68E-20	-2.0623655
IDH3A	6.70E-20	1.223348
MCHR2	6.73E-20	2.2861135
MVB12A	6.77E-20	-1.6974606
UBR3	6.78E-20	1.0944085
GNAI3	6.92E-20	-1.1694293
NA	7.10E-20	2.0827459
BAG4	7.19E-20	1.0324105
NDEL1	7.20E-20	1.2214304
OTUB1	7.38E-20	0.8742448
HSD17B10	7.48E-20	-1.1765886
LRRC8B	8.02E-20	2.4861446
BARD1	8.26E-20	-1.4781114
N4BP2	8.34E-20	-1.4449381
PRPF40A	8.61E-20	-1.2255706
PRKD3	8.67E-20	-1.3823556
ATP5L	8.69E-20	1.0361027
RECQL	8.80E-20	-1.1806597
TM2D3	9.23E-20	1.0556139
RTBDN	9.84E-20	2.3560114
AMN1	9.90E-20	1.4578216
VEZT	1.01E-19	1.0805101
CCDC80	1.04E-19	-2.1101993
FAM179B	1.07E-19	0.9858164
DNM1L	1.08E-19	0.9316401
MTHFD2	1.09E-19	-2.3308911
FAM174B	1.10E-19	1.1796729
PITHD1	1.10E-19	1.2278979
CMTM3	1.13E-19	-1.9133901
DUSP7	1.13E-19	1.3690671
WDR47	1.22E-19	1.3186652
OPALIN	1.23E-19	3.086747
ELAVL1	1.24E-19	-1.3887345
BARD1	1.28E-19	-2.3368786
BIRC5	1.31E-19	-3.905323
PRSS3	1.32E-19	1.7835484
NICN1	1.41E-19	0.896356
NEUROD6	1.45E-19	3.6883664
PLEKHA1	1.49E-19	1.6942653
SEC61A1	1.52E-19	-1.5286279
RCC1	1.59E-19	-1.2858985
TTC7B	1.62E-19	1.4851154
KCNAB1	1.64E-19	2.213402
YBX1	1.69E-19	-1.3480387
CD44	1.75E-19	-2.7976074
GALNT1	1.77E-19	-1.3903861
ANKRD11	1.77E-19	0.6453552
TROVE2	1.78E-19	-0.9647578
USP14	1.80E-19	0.723888
GLS	1.91E-19	2.3967111
RASAL1	2.07E-19	2.6159952
RAB13	2.11E-19	-1.7761436
DNALI1	2.16E-19	-2.5972553
MADD	2.24E-19	1.0452123
CCNY	2.26E-19	1.4696742
PRSS3	2.28E-19	1.5685378
LPP	2.31E-19	-1.0647787
HERPUD2	2.45E-19	-0.8684975
NBPF10	2.57E-19	-0.7371623
LARGE	2.72E-19	1.4419739
RPS19	2.98E-19	-1.2805568
KIAA0232	3.00E-19	0.9688995
TNC	3.14E-19	-2.8801915
PTGER3	3.44E-19	2.0748424
LINGO2	3.54E-19	1.9993787
PPP2R2D	3.56E-19	1.5681468
CRH	3.68E-19	3.0069018
C7orf73	3.76E-19	-1.304045
LARP6	4.25E-19	1.4552877
PAK6	4.25E-19	2.221726
MOB1A	4.28E-19	-0.8995005
PBK	4.72E-19	-3.5954294
BTBD9	4.74E-19	1.4010621
RAB31	4.90E-19	-1.0215662
BAZ1A	5.05E-19	-1.7361169
TLN2	5.05E-19	1.8848516
NBN	5.10E-19	-1.728833
HIVEP2	5.13E-19	1.4109842
ZCCHC12	5.27E-19	2.3513344
NA	5.28E-19	-1.2412713
SPRYD7	5.30E-19	1.2092816
MADD	5.42E-19	1.2964439
ATOH7	5.65E-19	3.1113436
NCOA3	5.95E-19	-2.052332
RAP1GDS1	5.97E-19	1.2045316
ZC3HAV1	6.03E-19	-1.5075161
FOXD1	6.15E-19	-2.6902533
NA	6.18E-19	-3.0063563
LPP	6.42E-19	-1.2329627
USP3	6.43E-19	-1.053353
KIAA1033	6.47E-19	-1.8095615
ZBTB20	6.64E-19	-1.414039
ZC3HAV1	6.87E-19	-1.151503
NOTCH2	7.05E-19	-1.5921475
RPS21	7.23E-19	-1.9932909
IDH1	7.40E-19	-1.6946478
NES	7.54E-19	-2.2250746
SYNCRIP	7.94E-19	-1.2044341
G3BP1	8.18E-19	-0.9393416
DPYSL3	8.52E-19	-1.9988788
LIN7B	8.53E-19	0.9635704
GABARAPL3	9.23E-19	2.1508605
UBR3	9.62E-19	1.1505268
STX1A	9.71E-19	2.6285949
RPS2	9.82E-19	-1.1776572
CDK1	9.87E-19	-3.3874436
HSPA12A	1.03E-18	2.7140588
ZBTB20	1.06E-18	-1.4898207
ATP6V1D	1.08E-18	0.9554359
ATP6V0A1	1.15E-18	1.1461052
NEDD4	1.17E-18	-1.4284856
SYNGR1	1.21E-18	2.2882658
TRAPPC6B	1.22E-18	1.1582489
POLR2J	1.23E-18	-0.9940924
DCTN1	1.23E-18	1.1849524
ARF3	1.29E-18	1.2585608
AGTRAP	1.34E-18	-1.5082206
HABP4	1.35E-18	1.3370546
ATP6V0E1	1.35E-18	-1.1113443
BTF3	1.40E-18	-0.9725193
C14orf2	1.41E-18	1.3296118
BOC	1.42E-18	-2.3044458
SEC61A2	1.43E-18	1.5999816
AP3M2	1.44E-18	1.2622904
BRI3BP	1.50E-18	1.2861647
INTS12	1.53E-18	-0.8539105
NOL12	1.55E-18	-1.474542
VIM	1.56E-18	-1.6924545
TSEN34	1.57E-18	-1.0235745
DUSP8	1.60E-18	1.633
PRKCB	1.62E-18	2.9605472
SLC25A44	1.65E-18	0.766508
CACNG3	1.65E-18	4.9620717
CDC42	1.65E-18	2.4296406
BCL11A	1.68E-18	2.047477
RPN2	1.71E-18	-1.3430478
FAM20B	1.72E-18	0.9263883
DGKZ	1.74E-18	1.8118378
FBXO9	1.76E-18	1.0121811
ARHGEF6	1.77E-18	-1.283943
DACT3	1.78E-18	1.230201
GHITM	1.80E-18	1.3355216
PPP3R1	1.82E-18	1.4537935
PPEF1	1.84E-18	1.6082647
CNKSR2	1.90E-18	2.4145501
NPY	2.01E-18	2.5930567
PDE1A	2.03E-18	2.5663791
LRFN2	2.03E-18	2.2042125
TNPO1	2.04E-18	-1.2504576
RASGRF2	2.18E-18	2.6273955
ACVR1C	2.19E-18	1.6419845
NID1	2.20E-18	-2.5375983
NT5DC2	2.21E-18	-2.013946
SRD5A1	2.24E-18	2.0898621
PPME1	2.33E-18	0.6820335
ACOT7	2.33E-18	1.568842
TEAD1	2.35E-18	-1.18925
SRD5A1	2.38E-18	2.4435108
ARPC5L	2.50E-18	1.1417989
DNAJC27	2.55E-18	0.9715954
NONO	2.64E-18	-0.7211841
KIAA0513	3.12E-18	2.5785287
PAK1	3.25E-18	2.2940094
RPN2	3.26E-18	-1.4280635
GRSF1	3.33E-18	0.8484431
NA	3.35E-18	-1.2007512
NA	3.35E-18	-1.080506
KIAA1468	3.38E-18	0.8171499
TNFRSF19	3.38E-18	-2.3258924
LMBRD2	3.44E-18	1.1743279
RPS19	3.46E-18	-1.176474
KLC1	3.47E-18	2.2836457
MSI2	3.57E-18	-1.4730069
ATP2C1	3.83E-18	1.1216452
HECTD4	3.87E-18	1.2314693
NA	3.92E-18	-1.3064094
NA	3.93E-18	0.7980813
RFK	3.94E-18	0.9427621
CDCA7	3.96E-18	-2.0089088
DDHD2	4.01E-18	1.2342285
NECAP2	4.07E-18	-1.0620143
ANK3	4.10E-18	2.0524513
CISD1	4.24E-18	1.2301232
TP53	4.25E-18	-1.8508545
UBE2D2	4.26E-18	0.966753
CAND2	4.34E-18	0.7980284
HTR2A	4.37E-18	2.8613747
CYP46A1	4.40E-18	2.3731228
NOTCH2	4.42E-18	-0.8518049
USP14	4.55E-18	0.7908245
SVOP	4.60E-18	3.1292419
DYNC1LI1	4.61E-18	0.8636344
CD44	4.63E-18	-2.1809018
PSMB8-AS1	4.70E-18	-1.4327636
DNAJC5	4.85E-18	0.8759393
FBXO30	4.86E-18	-0.859094
IDH1	4.96E-18	-1.5787511
SNCA	4.98E-18	1.9882887
NME4	5.00E-18	-0.9990827
TCF3	5.02E-18	-2.3546291
FBXW7	5.06E-18	2.0676331
CAMSAP1	5.09E-18	0.9335363
BOC	5.11E-18	-1.6372977
ZNF516	5.19E-18	-1.071901
SGTB	5.20E-18	1.4054749
NUSAP1	5.22E-18	-2.6351325
C7orf49	5.28E-18	-0.9405623
TERF2IP	5.30E-18	0.945535
NUSAP1	5.31E-18	-4.2263224
NA	5.42E-18	2.2667777
HERC1	5.44E-18	1.3143448
AUH	5.48E-18	0.9126382
DCPS	5.50E-18	-1.2377312
TGIF1	5.58E-18	-1.917365
HYAL2	5.61E-18	-0.9855027
SH3GL3	5.62E-18	2.772501
CLTB	5.67E-18	1.5334085
CDH8	5.74E-18	2.6882453
RAB6A	5.81E-18	0.7168046
AACS	5.87E-18	1.1942949
ATPAF1	5.87E-18	1.3043857
NUAK1	5.88E-18	2.0026988
HAT1	5.90E-18	-1.1183888
PAFAH1B1	5.91E-18	0.9129881
KIAA1045	5.96E-18	2.5049251
NCOA7	5.97E-18	1.7355305
ARHGAP42	7.04E-18	-2.3653069
SV2B	7.22E-18	2.4980422
H3F3AP4	7.63E-18	-0.8380288
WASF2	7.64E-18	-2.2129982
PCMT1	7.65E-18	1.0486856
H3F3AP4	7.75E-18	-0.8246745
LCMT1	7.75E-18	0.7844371
AAK1	7.86E-18	2.9909459
NA	7.92E-18	-2.0732926
HLA-J	8.02E-18	-2.0768274
NA	8.91E-18	-0.958146
RAB11FIP2	9.11E-18	1.2508809
SERINC3	9.12E-18	0.8763588
SRGAP1	9.32E-18	-1.5300252
NA	9.37E-18	-3.134656
WEE1	9.40E-18	-2.867645
PNMAL2	9.55E-18	4.0552176
CLSTN3	1.00E-17	1.3234957
RPLP2	1.01E-17	-0.9603992
7-Sep	1.01E-17	1.4154436
SYT5	1.02E-17	2.0138829
KCTD4	1.02E-17	3.2389078
NSUN7	1.04E-17	-2.6498476
EIF4A1	1.05E-17	-1.075107
MORC4	1.06E-17	-1.0950342
FNDC3B	1.06E-17	-2.417476
KIF3A	1.06E-17	1.3044504
BCL2L2	1.07E-17	1.5287145
NECAP1	1.09E-17	1.4407136
MPP2	1.09E-17	1.2864236
TULP4	1.09E-17	1.3471146
PPP1R12B	1.12E-17	1.0981572
RHBDL1	1.12E-17	3.0821976
LIMS1	1.14E-17	-1.5075846
NUP37	1.17E-17	-0.8977815
H2AFV	1.18E-17	-0.874
C7orf73	1.19E-17	-0.8962081
SRSF1	1.20E-17	-0.6552503
NA	1.21E-17	-2.3213997
CACNA1C	1.22E-17	1.903056
GOT1	1.23E-17	2.0215067
NA	1.27E-17	-1.3667999
RECQL	1.28E-17	-1.1812143
MMD	1.28E-17	1.3717398
CAPRIN1	1.29E-17	0.8293163
HIF1A	1.34E-17	-1.0410091
TPRKB	1.37E-17	-0.787665
MOB1A	1.42E-17	-1.2340048
LSM8	1.43E-17	-1.1942633
STXBP5	1.43E-17	2.076218
RBL1	1.44E-17	-1.3582501
NA	1.45E-17	-2.30926
HLA-C	1.46E-17	-1.2290962
C1orf115	1.50E-17	2.985516
HIGD1A	1.52E-17	0.9965212
KCNMA1	1.53E-17	2.6500591
PRPF40A	1.54E-17	-0.8467847
HMGB2	1.55E-17	-1.6979701
LINC00087	1.57E-17	2.6774969
IGSF8	1.58E-17	1.5471523
P4HB	1.60E-17	-1.3384457
ITFG1	1.60E-17	1.1433594
UBE2V2	1.60E-17	1.0914743
NHP2L1	1.61E-17	0.9769084
SH3BP2	1.63E-17	-1.5661045
EHD3	1.69E-17	1.9275495
MICU3	1.70E-17	1.9321331
YWHAB	1.71E-17	0.9368315
MAPK7	1.72E-17	-1.0880174
CMIP	1.73E-17	1.1098694
HMG20B	1.73E-17	-1.3990784
AGTRAP	1.75E-17	-1.4103361
MOV10	1.75E-17	-1.4960721
NA	1.77E-17	2.0891102
RIT1	1.77E-17	-1.2985787
PRIM2	1.81E-17	-1.0364064
KIAA0101	1.82E-17	-2.4279396
SEMA4A	1.84E-17	1.9591143
MEX3A	1.86E-17	-1.6880422
SLC4A1AP	1.89E-17	0.5756712
ASPM	1.90E-17	-4.9641717
TIMP4	1.96E-17	-3.2864321
NA	1.96E-17	1.776008
TBC1D24	1.98E-17	1.1940186
PSD3	2.00E-17	2.1132808
LRR1	2.04E-17	-1.1826674
POFUT1	2.05E-17	-1.9387171
MOAP1	2.09E-17	1.6900727
NA	2.09E-17	-1.3415773
NRP2	2.10E-17	-1.1510692
INPP4A	2.14E-17	1.0537821
SLC25A44	2.15E-17	0.6936507
SOX4	2.16E-17	-4.0270949
NA	2.16E-17	-1.3434544
NUP205	2.19E-17	-1.1253445
NA	2.22E-17	1.3905926
MUM1L1	2.24E-17	2.7961297
IFI16	2.28E-17	-2.1177681
LOC283713	2.30E-17	2.2464139
LINC00294	2.30E-17	1.3109257
HLA-G	2.32E-17	-1.6203341
HLA-B	2.35E-17	-1.9163203
NA	2.37E-17	-1.6322445
GSTO2	2.37E-17	1.2903371
TNPO1	2.43E-17	-1.2114191
GNAI3	2.50E-17	-1.3361897
CKS2	2.50E-17	-2.1801161
MKRN1	2.50E-17	0.9594332
CALD1	2.52E-17	-1.8289886
CCDC50	2.52E-17	-1.5590492
YBX3	2.52E-17	-3.0878785
MPC2	2.53E-17	1.2340227
NA	2.54E-17	-1.5083561
MSI2	2.54E-17	-1.1589854
ACTR10	2.55E-17	0.7585057
TMEM191A	2.56E-17	2.6662793
AP2A2	2.58E-17	1.1455715
RPS2	2.63E-17	-0.948331
PALLD	2.63E-17	-1.3728097
APBA1	2.71E-17	1.9431248
CARD8	2.76E-17	-1.0553713
KIF18A	2.84E-17	-2.8449012
HENMT1	2.89E-17	1.4792165
PDS5B	3.05E-17	1.4703248
DNAJA4	3.05E-17	2.2261353
APBB1	3.06E-17	1.3046818
DENND1B	3.17E-17	-1.8624346
KIAA0040	3.19E-17	-1.9619108
RPS15A	3.21E-17	-1.0272766
PTPN12	3.22E-17	-2.1666835
KLHL2	3.23E-17	1.6943836
TPM3	3.25E-17	2.1294772
ITFG1	3.36E-17	1.4196888
MYO9A	3.37E-17	1.0635149
WWTR1	3.42E-17	-2.1323764
MIOS	3.44E-17	-0.7950175
PLTP	3.45E-17	-1.9042593
PTPRN	3.46E-17	1.9309235
HTR2A	3.51E-17	3.5369711
EPT1	3.58E-17	0.7855788
SRI	3.59E-17	-1.2660587
NBPF10	3.60E-17	-1.2193706
PMS1	3.61E-17	-0.7673583
ABHD4	3.61E-17	-0.7303335
DTX3L	3.62E-17	-1.593037
GOLGA2	3.69E-17	-0.9710758
ZDHHC18	3.72E-17	2.7082714
FAM73A	3.73E-17	1.3404539
SNCA	3.82E-17	1.8288194
RTN3	3.85E-17	1.1070568
ATP6V1H	3.85E-17	1.292515
EPB41L1	3.95E-17	2.182287
EPCAM	3.96E-17	1.8876904
UBE2K	3.97E-17	0.85606
FRMPD2B	3.97E-17	2.615621
PART1	3.98E-17	1.9204974
SSR4	3.99E-17	-0.9922128
RAB40B	4.00E-17	2.4146537
SLC9A6	4.01E-17	1.3295849
CAMKK2	4.03E-17	1.3582937
UBQLN1	4.05E-17	0.7143587
NA	4.05E-17	2.4987106
CAP2	4.06E-17	2.0446199
PTPRR	4.14E-17	2.232126
HIVEP2	4.21E-17	1.379242
NA	4.21E-17	1.6995544
FNDC3B	4.28E-17	-1.8333368
PDE1A	4.36E-17	3.7151908
CLCN4	4.38E-17	2.2967429
ANTXR1	4.47E-17	-1.276816
OPA1	4.50E-17	0.9255713
NA	4.62E-17	-1.7054716
ATE1	4.62E-17	1.0446088
RPL18AP3	4.65E-17	-1.3378241
ANAPC1	4.67E-17	0.7825418
NA	4.76E-17	-1.1253779
RAPGEF2	4.76E-17	1.145005
GPX7	4.78E-17	-1.2700879
GLS	4.78E-17	2.1507894
RLIM	4.99E-17	-1.0366884
GPR161	5.09E-17	-1.4253744
IL13RA1	5.09E-17	-1.6418582
EIF4E	5.23E-17	1.3682134
ANK3	5.25E-17	2.2297035
VCAN	5.29E-17	-1.991903
ITGB8	5.33E-17	-2.1650764
HDGFRP3	5.37E-17	0.9429522
UBE2D3	5.41E-17	0.8321299
SYT7	5.47E-17	3.4304895
GART	5.49E-17	-0.8840871
NA	5.54E-17	-2.7865139
PPP2CA	5.62E-17	1.0990836
IPCEF1	5.71E-17	2.4070796
SMIM17	5.79E-17	1.5885177
CD44	5.85E-17	-2.6062706
SLC6A15	5.85E-17	4.4200316
ZC3HAV1	5.86E-17	-1.5308979
MS4A7	5.93E-17	-2.2594438
ACTL6A	5.95E-17	-1.6012295
RAPGEFL1	6.08E-17	3.280505
TMEM183A	6.09E-17	0.9099506
LAMB2	6.12E-17	-1.7213642
MEAF6	6.14E-17	1.1949855
GPRASP2	6.15E-17	1.4301702
LOC285147	6.27E-17	2.3073731
NA	6.28E-17	1.8051941
LMNB1	6.28E-17	-2.3585326
ATP6V1A	6.29E-17	1.0425975
SYDE1	6.40E-17	-1.1065315
GLIS2	6.51E-17	-1.2240875
RYBP	6.58E-17	0.9988295
ADCY2	6.60E-17	2.666386
CLEC2D	6.71E-17	-1.3130097
SCAMP5	6.71E-17	1.4549699
MAGI1	6.73E-17	1.4984888
PPP1R3F	6.76E-17	1.2750621
CSRNP2	6.94E-17	0.6842733
HAUS4	6.96E-17	-0.8887033
TMX1	7.01E-17	-1.0764226
ZFP36L2	7.12E-17	-1.5699428
NDUFAF4	7.22E-17	1.317687
AP4S1	7.31E-17	1.1071658
HMMR	7.46E-17	-2.9410354
KCTD4	7.56E-17	2.9275419
ZNF431	7.56E-17	-1.1532927
IGFBP7	7.59E-17	-1.9407154
SRSF3	7.64E-17	-2.091235
C6orf136	7.68E-17	1.0489494
DHRSX	7.76E-17	-3.1462768
TRIOBP	7.85E-17	-0.9479677
ARHGEF40	7.91E-17	-1.2039169
KIAA1468	7.91E-17	0.7898822
HLA-C	7.93E-17	-1.5080765
CA11	7.96E-17	2.7140566
AJUBA	8.02E-17	-1.7508774
SEC11A	8.03E-17	-1.0696332
CBX6	8.14E-17	1.1407226
GCC2	8.17E-17	0.914946
MEF2C	8.35E-17	2.1577673
SOX4	8.37E-17	-3.0068254
GTF2H2C_2	8.41E-17	-1.0817395
TPRG1L	8.44E-17	1.6314427
NA	8.48E-17	-1.5686363
GNG12	8.48E-17	-1.4160699
H2AFV	8.50E-17	-1.161598
ZNF365	8.52E-17	2.4244667
MEX3A	8.57E-17	-1.7208545
NA	8.58E-17	1.0941712
ANK3	8.63E-17	1.8510037
ADAP1	8.65E-17	1.5122655
SCP2	8.75E-17	-0.7656917
SEPN1	8.88E-17	-1.2723862
TMCO1	8.92E-17	-0.9463414
NA	8.96E-17	1.0174246
NIPA1	9.02E-17	1.4090434
PHLPP2	9.07E-17	1.0496377
ZIC1	9.17E-17	-2.655431
FLNA	9.22E-17	-2.2669751
ELN	9.30E-17	-3.1517495
SYN2	9.43E-17	2.2937382
NKIRAS1	9.44E-17	1.3499006
ARHGDIG	9.47E-17	2.4912797
USF2	9.59E-17	-1.2207881
SP1	9.90E-17	-0.8180446
CRNDE	9.94E-17	-3.8407239
NRIP3	9.95E-17	1.7329737
TCF3	1.00E-16	-1.6912351
CPNE3	1.01E-16	-1.2884513
LOC283070	1.04E-16	1.9024088
SRGAP1	1.04E-16	-1.3372489
FLNA	1.04E-16	-2.0983292
IKBKB	1.05E-16	-1.0071879
STAU2	1.06E-16	1.1637251
CCDC92	1.07E-16	1.2963157
FNDC3B	1.09E-16	-1.3301734
LMTK2	1.09E-16	1.2978811
ATP2B1	1.10E-16	1.9989049
CYB5B	1.10E-16	1.3679681
FAM174A	1.10E-16	1.0458927
FLNA	1.10E-16	-2.0002263
OSBPL1A	1.11E-16	1.5882793
FCGRT	1.11E-16	-1.6610089
CDK2	1.12E-16	-1.6287607
ARL6	1.12E-16	1.0182667
H3F3B	1.12E-16	-0.9355013
NA	1.14E-16	2.4064413
MCM3	1.14E-16	-1.2416433
AJAP1	1.15E-16	1.5144724
CELF5	1.15E-16	2.3501047
PSD3	1.15E-16	1.7682705
MAPK8IP3	1.16E-16	1.2327591
MCL1	1.16E-16	-1.1525688
PDLIM5	1.16E-16	-1.2347615
FAM133DP	1.17E-16	-1.6115953
FAM111A	1.19E-16	-1.3782795
SOAT1	1.19E-16	-1.6595188
LFNG	1.19E-16	-3.664689
KIF14	1.20E-16	-2.9596157
FBXO41	1.21E-16	1.9199409
DDR1	1.21E-16	-1.2116476
CAMKK1	1.22E-16	1.5405804
PRPH2	1.22E-16	1.052295
RUNDC3B	1.24E-16	2.0604317
CLSTN1	1.24E-16	1.0589455
SOX4	1.25E-16	-2.2611787
NRXN3	1.27E-16	4.5444127
GNA13	1.27E-16	-0.7480066
TRIM2	1.27E-16	1.6698411
NA	1.30E-16	-1.4058384
TEX9	1.30E-16	-2.0618825
WNT10B	1.33E-16	2.9513796
GABRA2	1.33E-16	2.8164004
PRKD2	1.34E-16	-1.318078
SLC25A22	1.36E-16	1.2383145
HPRT1	1.36E-16	1.6623093
NA	1.37E-16	-1.8111438
PRKCG	1.38E-16	2.687305
CD200	1.40E-16	1.5591606
PCMT1	1.41E-16	1.0746714
PIN1	1.44E-16	1.1319449
ARHGEF40	1.45E-16	-1.1864258
TNPO1	1.48E-16	-1.3499358
FAM49B	1.48E-16	1.7742789
RBFOX1	1.48E-16	2.948846
DCAF6	1.48E-16	1.0850334
IGFBP7	1.49E-16	-1.3328168
NA	1.49E-16	2.5748992
HAUS1	1.50E-16	-1.2508725
HLA-B	1.51E-16	-1.7686424
ZNF667	1.51E-16	0.9454281
GABRA5	1.55E-16	1.4559537
SNCG	1.55E-16	3.4437199
GPR82	1.55E-16	-2.5792488
